ID,ROCK NAME,TIO2(WT%),AL2O3(WT%),Y(PPM),ZR(PPM),AU(PPB),NB(PPM),LA(PPM),CE(PPM),SM(PPM),YB(PPM),TH(PPM)
1907,ANDESITE,0.8,15,33.7,81.5,5,0.72,,13.4,3.43,3.5,0.496
1908,ANDESITE,0.5,16.51,17,95,,3.1,11,21,,2,4.2
1909,ANDESITE,0.43,17.36,20.44,93,,3.2,,23.59,3.04,2.13,2.98
1910,DACITE,0.799620861,16.66801113,35.89377012,168.385343,,4.767931253,14.78154565,32.03539428,5.483103601,3.548273311,4.539874351
1911,ANDESITE,0.54,16.92,17,96,,2.9,,21,2.8,2.2,4.1
1912,DACITE,0.927799325,14.87590632,42.21371763,120.9544943,,1.945757305,3.334841587,11.19446878,4.546688404,4.114413411,0.337835435
1913,DACITE,1.07,15.13,45.6,246,,10,20.29,46.18,6.22,4.66,5.08
1914,DACITE,0.79721679,16.73805346,39.43244871,169.312469,13,4.681413581,16.18148421,35.16923685,,3.680679232,4.838631641
1915,ANDESITE,0.486,17.97,16.04,119,,5.84,12.74,25.01,2.94,1.52,1.35
1917,ANDESITE,0.55,16.88,23.3,91.9,7,2.04,5.81,15.1,2.76,2.53,1.08
1918,ANDESITE,0.476,18.08,15.13,123,,5.61,12.37,24.48,3.01,1.41,1.36
1919,ANDESITE,0.85,16.36,35.25,92.45,5,1.69,12.27,28.05,4.53,3.45,3.59
1920,DACITE,0.807958624,16.52953652,38.43103524,159.5233551,,4.582411424,,31.30883865,5.66621267,3.699315311,4.223403173
1921,ANDESITE,0.46,17.32,24.4,82.8,10,2.21,4.93,13.1,2.9,2.68,0.57
1923,ANDESITE,0.9,15.16,32,134,8,2.97,12.14,27.25,4.94,3.66,3.12
1924,ANDESITE,0.35,17.73,8.1,56,,0.99,4.14,9.53,1.42,0.83,1.03
1927,DACITE,0.80736221,16.56042008,36.1756104,164.3597867,9,4.613721214,14.68693565,31.14438168,5.543888884,3.590265896,4.394484086
1930,ANDESITE,0.71,16.86,26,189,,4,16.4,34.8,4.68,2.73,4.77
1931,ANDESITE,0.43,17.05,15.3,67.2,,2.95,11.7,23.4,2.61,1.66,2.87
1932,DACITE,0.797216841,16.70503991,37.06425056,156,8,4.92402421,14.53616259,31.24448739,5.524964535,3.561586788,3.807699631
1933,ANDESITE,0.7,16.06,27.3,121,12,3.18,,22.34,,2.78,2.779
1934,ANDESITE,0.47,18,16.21,121,,7.1,12.38,24.39,2.88,1.53,1.82
1935,DACITE,0.66,15.07,19,132.4,,3.1,10.34,24.06,,1.6,2.91
1937,ANDESITE,0.72,17.46,31.8,314,,8.75,26.6,59.7,5.4,3.56,4.52
1938,ANDESITE,0.485,18.03,15.06,121,6,6.08,11.11,20.77,2.51,1.48,1.89
1939,ANDESITE,0.58,17.05,39.4,78.8,,1.14,6.17,11.4,,2.95,0.58
1943,ANDESITE,0.35,17.86,8.4,70,,0.88,4.56,10.06,,0.84,1.04
1945,ANDESITE,0.42,17.35,19.9,106,,3,11.1,24.6,,2.1,2.76
1947,ANDESITE,0.477,17.88,14.58,125,6,5.55,10.64,19.8,2.32,1.53,1.6
1949,ANDESITE,0.35,17.86,8.2,64,5,0.88,4.52,9.68,1.38,0.81,1.03
1950,ANDESITE,0.84,15.67,41.3,78.2,,0.79,2.95,9.1,3.11,3.74,0.29
1952,ANDESITE,1.04,15.4,33,121,12,4,,22.1,4.25,3.25,2.72
1955,ANDESITE,0.83,15.12,44.2,133,14,3.17,14,30.3,,4.32,2.08
1957,ANDESITE,0.84,14.98,43.9,131,1,3.13,14.1,30.5,5.65,4.33,2.11
1958,ANDESITE,0.69,15.82,30,140,,9.64,,59.07,5.59,3.02,10.2
1959,DACITE,0.781769459,16.82416232,36.13204025,176.0822239,,4.983222956,15.03755932,32.02942656,5.453607231,3.512463247,5.101135949
1960,RHYOLITE,0.66424198,17.8387685,42.97296521,236.1871517,,6.54322589,18.81888461,39.40688179,6.248381906,4.396649711,6.327358585
1961,ANDESITE,0.47,17.37,20.96,104,,3.1,11.7,25.19,,2.09,3.39
1962,DACITE,0.67,16.04,24.7,100,,2.55,,19.46,3.5,2.4,2.987
1964,ANDESITE,0.84,15.13,45.6,131,,3.2,14.4,31.3,5.76,4.39,2.09
1967,ANDESITE,0.31,17.93,7.4,67,,0.79,3.29,7.42,1.25,0.77,0.77
1968,DACITE,0.55,16.9,16.8,35.9,1,6.3,21.3,38.8,3.78,1.25,6.36
1969,DACITE,0.798,15.12,34.8,110,13,2.71,11,24.1,4.66,3.45,1.66
