ID,ROCK NAME,TIO2(WT%),AL2O3(WT%),Y(PPM),ZR(PPM),AU(PPB),NB(PPM),LA(PPM),CE(PPM),SM(PPM),YB(PPM),TH(PPM)
0,BASALT,1.17,10.29,45.9,79.1,,1.99,4.78,7.26,3.47,3.98,0.117
1,BASALT,1.1,9.86,32.2,70.4,,1.73,2.25,7.56,,2.61,0.095
3,BASALT,0.69,26.09,2.1,4.6,6,0.09,0.69,1.57,0.32,0.2,0.08
4,ANDESITE,0.683323546,15.20749021,15.56426477,53.86074521,,1.243583258,5.699474335,12.63966888,2.565400287,1.563073624,0.553055895
6,BASALT,0.13,26.92,16,32,,2,11.9,26.2,3.23,2.42,0.048
10,BASALT,0.60940861,14.04849513,10.20668563,51.72686925,,1.499679218,1.377830316,4.137053517,1.322328153,1.214110399,0.073931421
14,BASALT,0.99,19.47,63,57,,2,8.62,9.12,,3.52,0.21
15,BASALT,1.18,10.1,10,20,,4,3.7,9,1.65,1.15,0.4
19,BASALT,1.74615092,12.70057212,42.62583189,145.0542213,8,2.981118221,,13.07942082,5.581939805,5.184883948,0.144697397
24,BASALT,0.75,14.45,15,19,,1.53,4.36,11.8,,1.32,0.57
25,BASALT,0.63,14.44,18.5,45.9,11,0.57,,7.68,1.91,1.77,0.23
27,BASALT,0.78,13,16.1,49.7,1,4.55,,18.11,,1.52,2.41
31,BASALT,1.1,16.08,19.6,59.5,,2,4.56,11.88,3.12,2.63,3.3
33,BASALT,0.9,22.42,14,61,,2.2,,14.5,2.46,1.67,0.5
39,BASALT,0.847,20,19,33,9,2.3,7.5,21,3.6,1.66,0.78
41,BASALT,0.43,16.97,9.11,14.5,,0.5,,3.37,0.94,0.86,0.14
42,BASALT,0.93,16.53,17.5,26.2,,0.62,,9.36,2.38,1.49,0.349
44,BASALT,0.85,18.3,11.7,20.9,,0.76,3.7,8.84,1.4,1.12,0.42
46,BASALT,0.73,17.72,12.9,24.7,,0.54,2.86,6.59,1.84,1.35,0.26
47,BASALT,0.966,16.16,21.4,80,,4.6,18,40,5.098,1.779,6
48,BASALT,0.73,17.17,15.3,27,,1.2,3,8,1.9,1.4,0.24
50,BASALT,1,16.38,21,76.5,,4.3,16.7,37.1,,1.6,4.5
51,BASALT,1.04,16.8,21,72.4,,4.03,,39.05,5.33,1.77,4.93
52,BASALT,1.07,15.28,18,61,,4.7,,12.7,,1.74,0.849
54,BASALT,0.71,18.93,15.1,24,,0.47,2.6,6.92,1.5,1.49,0.55
56,BASALT,0.87,15.69,19,56,0,2.5,8.87,20.4,,1.76,1.36
58,ANDESITE,1.29891509,13.81317607,26.18700804,93.54082344,,1.497158955,3.001754657,8.968328492,,2.452357,0.176459316
62,BASALT,0.9,15.67,17,62,14,4,5.9,13.9,2.44,1.84,1.663
63,BASALT,1.09,18.87,19.4,51,,3.7,,15.7,,2.26,1.06
64,BASALT,0.99,15.18,18.4,55.2,,4.6,8.2,17.2,,1.6,2.2
67,BASALT,0.852,15.57,20.8,64,12,3.5,18.4,40.6,4.92,1.797,5
68,BASALT,0.94,15.71,18,59,2,4,4,10.5,,1.65,0.562
69,BASALT,1.35,17.75,28,93,3,3.44,12.4,28.7,4.46,1.92,1.5
70,BASALT,1.69,16.46,41.6,160,,4.11,12.3,30.2,5.12,4.02,3.79
79,BASALT,1.12,17.8,20.6,34,,0.68,2.45,7.31,,1.73,0.1
80,BASALT,0.82,16.81,20.6,45.8,10,1.75,7.61,17.8,3.48,1.76,0.913
83,BASALT,0.81,16.99,20.7,45.5,,1.44,7.51,17.55,,1.8,0.883
84,BASALT,1.022,14.86,20.7,73.3,5,6.66,11.32,25.1,,1.82,2.9
86,BASALT,0.82,16.08,12.9,25.1,,0.36,3.54,8.13,1.67,1.12,0.41
88,BASALT,1.5,14.25,37.8,99,,2.64,3.4,9.69,3.46,3.77,0.154
90,BASALT,1.08,18.58,17.8,64,,1.6,7.48,17.4,3.39,1.78,1.88
92,BASALT,1.08,17.12,20,93,,5,10.3,24,4.08,2.16,1.53
93,BASALT,1.35,19.86,23.04,72.68,,4.92,7.93,18,3.37,2.5,1.02
94,BASALT,1.05,15.81,19.2,67.1,3,1.96,4.59,11.8,2.69,2.05,0.57
95,BASALT,0.75,15.5,20.1,33.4,12,0.562,2.5,5.74,1.94,1.94,0.255
97,BASALT,0.674,13.23,13.5,35,5,3,3.5,6.69,1.22,1.23,0.3
98,BASALT,0.611,17.95,12.1,14.3,10,0.14,,2.24,1.08,1.33,0.037
100,BASALT,0.56,15.55,11.8,19.3,12,0.7,1.4,8,0.91,999999,0.1
101,BASALT,0.56,15.55,10,12.7,,0.32,1.29,3.85,1.27,1.24,0.1
104,BASALT,0.77835678,15.19978501,17.08426001,86.85151215,5,1.535652659,3.407248851,8.803230794,2.142334865,1.710826001,0.346058437
105,BASALT,0.97,15.07,18,84,12,7,11.1,23,3.36,1.79,2.638
108,BASALT,1.32,16.71,24.8,41.3,8,1.1,2.95,8.21,2.72,2.24,0.25
109,BASALT,0.87,15.31,18,63,,4,6.5,14.6,,1.89,2.101
111,BASALT,1.1,16.9,21.7,75.6,,6.3,11.3,25.2,3.6,2.37,1.89
112,BASALT,0.78,14.63,20,84,,5,12.5,21.9,,1.82,3.154
113,BASALT,1.015,15.14,21.9,73,,6.29,11.76,24.8,3.914,1.841,2.7
114,BASALT,0.91,17.18,18.5,41.5,,1.82,4.55,10.67,,1.57,0.495
116,BASALT,0.9,16.99,17.6,43.3,,1.5,4.39,10.88,,1.54,0.496
117,BASALT,0.89,16.04,21.8,78,,5,26.2,52.1,5.407,1.884,6
120,BASALT,1.2348,15.1296,30.51888406,50.90214955,,0.962437523,1.34753422,4.939894332,2.0719916,3.48832333,0.07558494
123,BASALT,0.99,18.01,19.4,45,14,3.6,5.2,12.27,-1,1.83,0.8
125,BASALT,1.02,17.75,18.1,36.5,,3.4,5.8,13,2.7,2.02,0.95
131,BASALT,0.529,19.378,10.3,14,,0.15,0.55,2.02,0.97,1.25,0.045
133,BASALT,0.88,16.77,17.4,39.5,0,1.42,4.12,10.01,,1.49,0.428
134,BASALT,0.97,15.85,15.6,28.5,,0.64,4.71,11.31,2.31,1.35,0.451
138,BASALT,0.96,18.25,19.25,48.11,6,2.08,7.25,17.84,3.05,1.95,1.44
139,BASALT,0.77,19.31,13.4,32,,0.69,4.27,9.18,2.12,1.43,0.45
140,BASALT,1.17,16.93,40.8,67.47,,0.2,6.11,5.89,3.65,3.64,0.28
143,BASALT,0.65,19.33,13,32,,0.29,,7.56,1.73,1.3,0.467
146,BASALT,1.14,16.91,28.7,103,1,4.23,10.4,24.5,3.61,2.84,1.4
147,BASALT,0.52,17.37,11,20,1,1,7.5,3.85,1.18,1.81,0.8
148,BASALT,0.52,17.34,11,18,,1,7.6,6.19,1.25,1.61,0.84
149,BASALT,0.89,22.12,20.2,47,7,1.5,3.5,8.4,1.9179,2.04,1.3
152,BASALT,1.29,17.26,30.4,126,,5.41,11.4,27.2,3.94,3.02,1.32
153,BASALT,0.95,16.7,20,73,,3.1,7.3,18.9,3,1.83,1.51
154,BASALT,0.84,19.24,18,46,,1,,7.3,,1.78,0.326
155,BASALT,0.647,19.401,13.1,17.1,,0.18,0.78,2.61,1.14,1.4,0.064
156,BASALT,0.85,17.83,15.8,42.2,,0.9,3.83,8.78,2.2,1.48,3.4
161,BASALT,0.83,17.2,16.5,23.6,,0.17,1.43,4.2,1.56,1.75,0.099
162,BASALT,1.21,17.17,29.4,108,,4.4,10.8,25.2,3.76,2.82,1.41
163,BASALT,0.62,19.45,13,38,,0.45,3.97,9.82,2.13,1.26,0.438
164,BASALT,1.2,17.59,29.1,124,,16.3,21.6,42,5.1,2.1,6.2
165,BASALT,1.21,17.18,28.9,113,,4.79,10.6,25.4,,2.96,1.37
166,BASALT,0.69,17.73,9.4,16,,0.45,1.1,3,,1.18,0.21
167,BASALT,0.56,18.23,9.8,14.6,,0.4,0.7,2.12,0.96,1.22,0.056
168,BASALT,0.61,19.03,13.8,41.4,3,1.12,4.05,9.75,1.87,1.53,1.04
171,BASALT,0.83,17.92,18.8,40,7,0.97,6.14,13,2.71,1.79,0.73
172,BASALT,1.1521,13.9555,32.38743769,46.16711055,,0.874054861,1.254939802,4.715677853,2.197227706,3.452659955,0.07919037
173,BASALT,0.94,16.93,18.1,46,5,1.86,3.86,9.12,2.19,1.59,0.298
174,BASALT,0.68,15.76,16.38,24.26,,0.35,2.3,5.76,1.71,1.55,0.51
176,BASALT,1.75,16.78,28.03,98.49,,6.44,12.65,27.87,4.63,3.11,1.45
177,BASALT,1.2,17.21,28.9,111,,4.75,10.5,25,3.74,2.87,1.36
178,BASALT,1.15,18.72,18.1,66,,1.5,7.43,17.2,,1.87,1.85
179,BASALT,1.15,16.67,24.13,93.89,9,5.55,11.54,26.66,3.88,2.38,2.04
180,BASALT,0.64,18.7,17.1,32,1,1.6,,8.8,2,1.55,0.29
181,BASALT,0.92,19.46,18.6,44.2,,1.5,2.93,7.45,2.03,1.84,0.39
183,BASALT,1.07,13.99,25.3,49.8,2,1.7,,12.28,3.02,2.35,0.66
184,BASALT,1.33,17.37,32.6,132,9,5.53,12.6,29.1,4.13,3.11,1.38
185,BASALT,1.37,18.63,31,99,,2.83,,28.6,5.19,2.71,1.44
186,BASALT,1.36,17.16,30.4,136,,5.75,11.9,29.2,,3.05,1.33
187,BASALT,1.19,15.44,18.5,87,,3.3,8.8,21.5,3.31,1.84,3.12
188,BASALT,0.84,20.89,16.7,36,4,0.63,4.32,10.2,2.16,1.64,0.53
189,BASALT,0.65,20.83,13.3,23.6,,0.8,1.1,4,,1.04,0.2
190,BASALT,0.65,20.83,12,21.9,,0.42,1.54,4.53,1.44,1.57,0.18
191,BASALT,1.03,18.42,18.6,59,,3.3,5.14,12.01,2.37,1.83,0.9
192,BASALT,1.32,17.2,32.2,122,,5.15,11.4,26.7,3.93,3.02,1.3
193,BASALT,0.6,18.26,10.1,16,2,0.5,0.738,2.26,1.03,1.3,0.06
194,BASALT,1.33,17.29,30,131,,5.64,12.3,28.4,4.02,2.97,1.34
195,BASALT,1.15,16.9,28.8,106,,4.31,10.7,25.2,3.83,3.06,1.45
197,BASALT,1.35,17.26,30.9,132,,5.78,11.5,28.3,,2.97,1.32
198,BASALT,1.32,17.19,31.1,128,,5.36,12,28.2,4.05,2.95,1.32
199,BASALT,0.8,20.77,21.5,115.1,,3.35,,33.47,4.3,2.12,2.29
200,BASALT,0.95,13.76,24.63850662,36.06921253,3,0.68055181,,3.271682915,1.685325423,2.724523718,0.064722142
201,BASALT,1.62,14.95,41.1,116,9,6.19,7.63,17.6,,3.19,0.394
202,BASALT,0.8,17.5,18.2,41,,0.99,,12.8,,1.88,0.69
204,BASALT,1.07,16.63,22.7,89.7,3,3.1,8.68,21.09,3.5,2.09,1.38
205,BASALT,1.05,16.9,26.8,106,,3.87,11.9,27.4,,2.77,1.83
206,BASALT,1.07,16.95,28,106,,4.27,,26.7,3.74,2.9,1.67
207,BASALT,0.73,19.39,18.2,37.9,,1.4,1.6,6,,1.36,0.3
210,BASALT,0.986,16.76,24.5,74,,5.3,21.5,41.3,5.248,1.823,5
211,BASALT,1.4,15.88,30.2,107,14,2.76,10.2,24.4,,3.52,2.94
212,BASALT,1.12,17.05,30.11,83.92,,4.61,13.4,23.4,,3.02,1.76
214,BASALT,0.75,19.17,19,38.6,,1.3,5.5,8.6,1.92,1.43,0.4
215,BASALT,0.75,19.17,16,38,,0.24,,6.31,1.81,1.92,0.235
216,BASALT,0.75,19.17,17.3,37.9,12,0.7,3.31,9.03,2.54,2.11,0.37
217,BASALT,0.92,19.68,18.74,63.95,,3.66,,24.96,3.88,1.95,2.14
218,BASALT,0.89,18,18.3,50.4,,1.1,4.91,9.8,2.16,1.74,2.5
219,BASALT,1.15,20.51,21,92,,2.8,8.94,20.8,4.1,2.28,1.62
221,BASALT,2.08,17.89,33.19,118,,5.57,14.1,32.54,6.57,3.03,999999
222,BASALT,0.63,14.83,16.97089618,24.98907248,,0.447540801,0.645733058,2.422954564,,1.796540762,0.046747282
223,BASALT,0.55,17.41,13,15,,0.22,1.23,3.28,,1.06,0.13
225,BASALT,0.61,17.26,12.9,27.6,10,0.59,2.71,6.89,1.51,1.28,0.27
226,BASALT,0.82,19.61,17.8,48.7,,0.64,7.36,17.7,,1.65,0.89
229,BASALT,0.52,19.3,13.9,47.3,,0.864,2.92,7.68,1.75,1.37,0.58
230,BASALT,1.38,17.29,31.5,141,11,5.78,12,28.6,4.2,3.02,1.34
231,BASALT,1.45,18.51,25,88,11,3.35,11,27.2,4.62,2.25,1.61
232,DACITE,0.73,17.67,19.3,54.3,,1.5,5.5,12.12,,1.81,0.62
234,BASALT,0.74,17.76,17.2,39,,1.07,6.16,13,2.65,1.8,0.74
235,BASALT,0.91,20.4,29,66,5,2.8,6.45,15.97,3.02,2.33,1.4
236,BASALT,1.38,17.18,30.7,142,0,6.22,,28.7,4.05,2.99,1.33
239,BASALT,1.07,17.06,27.9,104,11,4.09,,27,3.65,2.78,1.67
242,BASALT,1.04,16.32,21.5,52.2,10,1.13,,9.16,2.48,1.91,0.529
243,BASALT,0.76,18.53,17,40,,1,5.84,12.4,2.56,1.76,0.69
244,BASALT,0.89,15.67,13,37,,0.61,4.1,8.7,,1.6,0.47
245,BASALT,0.99,16.58,19,86,,3.6,7.57,16.74,3.07,2.57,1.29
246,BASALT,1.15,16.99,28.3,105,,4.5,10.1,24.4,3.69,2.87,1.37
247,BASALT,0.82,17.6,16,24.1,5,0.19,1.41,4.4,1.66,1.68,0.112
248,BASALT,0.83,17.3,17.5,24.7,,0.19,1.39,4.3,1.52,1.75,0.113
249,BASALT,0.91,16.14,16.7,66,5,1.4,7.27,17.6,3.11,1.64,2.38
250,BASALT,0.88,15.03,20,41,1,9999,4.5,10.3,2.35,1.75,0.51
252,BASALT,1.2077,15.139,27.12322933,57.89331147,10,1.344833226,1.912972335,6.619764559,2.376920549,3.332656361,0.092968558
253,BASALT,0.67,19.35,20,34,,1.62,2.48,5.59,1.79,1.82,0.32
255,BASALT,0.78,19.79,14,43,,1,,10.4,1.84,1.51,0.783
256,BASALT,0.8419,14.2387,20.92196995,26.89580532,,0.850814405,1.253099451,4.365465702,1.671004875,2.205875598,0.050702718
257,BASALT,1.02,21.38,25,49,12,2,4.1,9.2,2.3,2.32,0.598
258,BASALT,1.38,17.21,31.2,136,10,5.71,12.1,28.6,4.12,3.12,1.29
260,BASALT,2.09,17.96,34.35,123,11,5.88,14.47,33.55,6.75,3.71,1.71
261,BASALT,0.68,20.09,16.1,35.3,,0.838,4.89,10.4,2.07,1.57,0.624
262,BASALT,0.86,15.68,17.5,43.8,11,0.76,,9.73,2.11,1.49,0.55
268,BASALT,0.8,14.44,16.1,58.6,,1.08,4.84,12.2,,1.72,0.43
269,BASALT,2.06,17.05,48.1,169,,4.09,15.8,37.7,,5.12,4.39
270,BASALT,1.21,16.64,23.74,93.53,,5.62,12.51,26.69,4.12,2.74,1.93
271,BASALT,0.84,17.4,19.7,25,5,0.2,1.53,4.5,,1.82,0.115
272,BASALT,0.84,17.1,19.3,25.4,3,0.19,1.62,4.6,1.68,1.94,0.118
273,BASALT,0.83,17.4,16,24.5,,0.19,1.47,4.2,1.54,1.82,0.111
278,BASALT,0.98,16.81,19.5,53.5,,0.81,3.62,9.62,,1.71,0.252
279,BASALT,0.857,16.87,21,60,,4,9.7,23.6,,2,0.97
281,BASALT,1.3,13.99,36.28097541,53.82200827,,1.129370686,1.457843002,5.26133833,2.43617286,4.106992443,0.080601111
282,BASALT,1.05,18.44,26.5,97,,4.5,12,31.7,4.257,2.387,4.4
283,BASALT,1.95,17.6,35.14,130,11,5.88,14.53,33.73,6.28,3.12,2.25
284,BASALT,0.67,19.91,16.8,31.2,9,1.3,2.7,8.5,1.55,1.35,0.2
285,BASALT,1.22,18.65,28.2,82.8,13,2.43,7.05,17.7,3.38,2.69,1.28
286,BASALT,1.45,16.4,36.4,136,,3.16,10.5,25.5,4.71,3.75,3.13
288,BASALT,0.99,16.85,21.3,56.5,2,1.89,,9.76,,1.9,0.308
292,BASALT,0.91,21.75,21.4,55,3,1.6,4.63,11.2,,2.19,0.804
293,BASALT,1.12,16.4,22.1,33.2,,0.24,,5.3,2.02,2.19,0.128
295,BASALT,1.29,17.65,23,105,14,2.8,5.72,13.17,3.09,2.6,0.6
296,BASALT,1.016,13.4722,26.92706921,16.26498134,,0.645791526,1.018314445,3.613531518,,2.858057858,0.044660016
297,BASALT,0.94,17.94,22,159,,5.9,8.02,19.5,3.6,2.41,2.53
299,BASALT,1.029,16.06,18.1,29.5,,0.28,1.49,4.78,1.75,1.83,0.12
306,BASALT,0.68,17.73,15.8,32,,1.5,1.6,7.5,1.6,1.08,0.5
307,BASALT,0.61,17.4,15.7,29,,1.4,3.1,7.1,2,1.7,0.26
308,BASALT,0.61,17.4,15.7,29,,1.4,3.1,7.1,2,1.7,0.26
309,BASALT,1.65,15.15,31,153.7,10,20,24,56.9,6,2.5,2.6
310,BASALT,0.77,18.42,24.6,29.6,,0.4,2.05,4.33,1.68,2.56,0.2
311,BASALT,0.65,18.19,12.7,31.3,9,0.82,,8.27,1.81,1.2,0.35
312,BASALT,1.25,16.42,24.01,87.81,,6.37,12.22,28.93,,2.61,2.35
313,BASALT,0.727,16.5,21,48,,1.4,,8.48,2.017,1.989,0.8
314,BASALT,0.8,17.21,20.2,41,,1.03,5.87,12.9,2.86,2.01,0.69
315,BASALT,0.846,19.481,16.3,28.7,,0.35,1.32,4.38,,1.94,0.094
316,BASALT,0.804,18.42,22.7,75,0,4,9.5,20.6,2.876,2.21,3
317,BASALT,0.6,16.03,14.6,27.8,,1.1,1.31,5.2,1.21,1.18,0.2
318,BASALT,0.93,16.8,19.4,27.3,,0.21,1.66,4.7,1.6,1.95,0.115
319,BASALT,0.94,16.8,18.9,27,7,0.21,,4.7,,1.92,0.117
320,BASALT,0.94,16.8,18,27.4,,0.21,1.52,4.7,,1.88,0.116
321,BASALT,0.94,16.9,17.6,26.9,,0.22,1.57,4.7,1.84,1.94,0.118
324,BASALT,0.73,15.61,16.7,31.6,,0.48,4.28,9.84,,1.53,0.302
326,BASALT,0.72,17.69,16,32.8,,1.2,3.1,6.8,1.38,1.29,0.3
327,BASALT,0.72,17.69,14,33,2,0.25,2.3,4.3,1.41,1.58,0.197
328,BASALT,0.72,17.69,14.8,26,5,0.5,1.96,5.66,1.76,1.87,0.26
329,BASALT,2.36,15.26,53.2,178,,6.29,5.86,18,5.28,4.87,0.391
330,BASALT,0.81,19.14,19.6,40.3,,1.1,2.7,7.7,,1.47,1.1
331,BASALT,1.33,16.21,26.9,80.9,,1.51,4.5,12.71,3.32,2.38,0.35
332,BASALT,0.62,14.86,17.85997773,25.54695182,,0.442709516,0.601691359,2.356876701,1.114877664,1.676598238,0.053506666
333,BASALT,0.97,20.04,20.9,46.9,1,1.47,3.39,7.89,2.34,2.06,0.34
334,BASALT,0.566,19.67,11.3,17.8,,0.19,0.75,2.57,1.03,1.21,0.099
335,BASALT,0.38,12.32,9.91,10.17,,0.1,0.91,1.61,0.89,1.1,0.08
336,BASALT,0.98,16.15,20.7,67.2,,3.6,6.1,14,2.8,2,1.4
338,BASALT,1.45,17.67,26,120,8,4.3,8.81,20.26,4.55,3.93,0.71
339,BASALT,0.87,17.43,19.3,40.8,,0.87,2.52,7.08,,1.73,0.21
340,BASALT,1.04,16.91,26.6,102.2,,4.3,14.67,33.95,4.49,2.2,2.08
341,BASALT,0.92,22.74,20.3,51,12,1.5,3.6,8.5,,2.034,1.4
342,BASALT,0.61,18.81,11.6,18,,0.19,1.2,3.6,1.05,1.24,0.099
345,BASALT,0.77,19.69,19.5,37.7,6,1.7,2.4,7.6,1.87,1.63,0.2
347,BASALT,1.114,16.794,17.98182284,52.90106197,,1.035,3.863,9.61,2.248,1.899,0.493
348,BASALT,1.28,17.32,27,122,,5.08,13.3,33.1,4.32,2.57,1.84
349,BASALT,0.65,15.84,14.6,46,2,1.03,4.63,10.19,2.25,1.78,0.58
350,BASALT,0.98,17.53,19,67,,2,4.98,12.1,2.16,1.53,0.54
351,BASALT,0.98,17.53,17.6,59.1,,3.3,5.47,13.81,2.4,1.64,0.83
352,BASALT,1.22,17.68,26,126,,1.7,11.58,23.9,4.74,3.83,0.97
353,BASALT,0.97,16.24,22.8,83.2,,4.1,7.6,17,3.1,2.3,2.1
354,BASALT,1.04,16.74,27.4,103,14,3.77,11.6,26.7,3.7,2.86,1.81
355,BASALT,0.95,16.81,20.1,54.7,,1.65,4.87,12.06,2.66,1.82,0.561
356,BASALT,1.3,17.77,38.5,113,,3.46,9.76,22.9,,3.22,2.43
357,BASALT,0.96,20.51,23,63,13,3,,8.8,2.17,2.13,0.426
358,BASALT,0.69,17.84,18.3,40.2,,1.5,3.6,5.7,1.94,1.51,0.4
359,BASALT,0.666,19.53,14.1,21.8,6,0.23,0.98,3.11,1.25,1.47,0.088
360,BASALT,0.9459,13.7729,24.98718451,29.47808288,6,0.677618661,0.969031391,3.528661453,1.729645209,2.770578652,0.054640943
362,BASALT,0.75,18.7,15.1,26.7,,0.21,1.58,4.7,1.41,1.66,0.135
363,BASALT,0.94,16.9,18.8,27,,0.21,1.58,4.6,,1.93,0.115
364,BASALT,0.76,18.7,16.4,27.5,,0.22,1.72,5,1.5,1.71,0.139
365,DACITE,0.68,18.7,18.5,51.8,,1.4,,12.45,2.58,1.6,0.48
368,BASALT,0.571,14.2498,15.65895997,4.899539427,,0.31791675,0.591825781,2.117022342,1.044969679,1.569652604,0.02544654
369,BASALT,0.84,13.91,23.313569,30.97348594,,0.831376996,,3.511696325,,2.404359349,0.081415879
370,BASALT,1.03,16.53,26.8,104,,3.88,11.1,25.9,3.48,2.63,1.78
373,BASALT,0.91,13.66,23.93851894,30.90323007,7,0.890522744,1.090118748,3.849695042,1.700293894,2.563421854,0.084616617
375,BASALT,0.87,14.82,14.99,33.8,4,0.81,,8.83,2.05,1.45,0.42
376,BASALT,1.108,15.044,29.84041314,44.33290657,,1.422767565,1.468680922,4.936811019,2.059234778,3.057774294,0.086962081
377,BASALT,1.18,18.16,24,122,,3,8.78,20.09,3.72,3.14,0.82
379,BASALT,1.07,17.83,16,86,,6,,22.6,3.85,1.9,2.03
380,BASALT,1.78,16.01,35.2,135,,7.55,5.84,16.9,,3.28,0.444
381,BASALT,1.2,16.87,34.94,95.08,,5.8,15.74,28.98,4.75,5.18,2.17
383,BASALT,1.01,17.29,19.9,52.8,,1.53,3.48,9.33,,1.81,0.288
384,BASALT,1.09,13.32,28.51253638,40.41825488,,1.077201958,1.140354129,4.131587304,1.924559961,3.131484751,0.093358835
385,BASALT,0.49,16.11,12.1,20.6,,0.4,0.79,2.53,,1.46,0.06
386,BASALT,0.49,16.11,12.1,20.6,,0.4,0.785,2.53,,1.46,0.06
387,BASALT,1.19,14.96,20.3,56.9,,1,3.7,9.08,2.41,2.23,0.52
388,BASALT,0.918,18.79,23.4,84,,6.6,14.56,28.9,3.822,2.122,4
389,BASALT,0.766,17.82,17.7,66.4,,4.22,13.26,25.2,3.125,1.643,4
390,BASALT,0.65,15.77,14.7,47,,0.95,4.74,10.28,2.19,1.69,0.52
395,BASALT,0.98,17.79,17.8,77,,1.6,10.2,23.1,3.83,1.86,2.89
396,BASALT,1.13,17.65,23,101,1,3.6,11.92,20.37,4.15,3.21,1.22
397,BASALT,0.81,21.1,21.6,55.4,,2.16,6.09,15,2.58,2.27,1.4
398,BASALT,0.75,18.5,16.9,26.5,,0.23,1.64,4.8,1.6,1.72,0.134
399,BASALT,0.99,16,21.5,28.7,2,0.24,1.69,5.2,1.83,2.05,0.124
400,BASALT,1.04,16.4,22.5,30.3,1,0.25,1.8,5.5,1.94,2.29,0.122
401,BASALT,0.79,18.4,17.7,28.6,9,0.24,,5.1,1.64,1.82,0.144
405,ANDESITE,1.12,18.26,26.3,76,0,3.2,5.53,14.23,,2.68,1.25
406,BASALT,0.7,17.59,17.1,41.8,2,0.69,3.8,9.11,2.18,1.74,0.389
408,BASALT,1.4,14.0151,34.38540332,70.01576327,,1.855852173,,8.437734761,3.025985874,3.676011299,0.14183003
409,BASALT,1.12,17.75,21.9,63.6,8,1.68,3.84,10.43,,1.95,0.325
412,BASALT,0.86,13.79,25.35323009,34.78226908,,0.628972749,0.77380275,3.016138921,,2.866588875,0.086855833
413,BASALT,0.7509,14.3991,20.50517101,30.30113164,,0.72218675,1.122777874,3.90420298,1.53592892,2.121168718,0.054685122
414,BASALT,1.082,19.39,26.3,76,,3.4,,15.01,2.722,2.49,2
416,BASALT,1.132,13.913,30.64671442,43.62349214,,1.748862923,1.783444321,5.558872299,2.24843775,3.131356829,0.11403061
417,BASALT,1.91,17.65,29.01,100.4,11,11.45,14.45,31.25,,3.07,1.48
419,BASALT,0.98,21.08,20.8,52.8,,1.91,,8.29,2.2,2.06,0.43
420,BASALT,0.714,13.819,17.98933578,31.18852361,,0.706422121,1.088306744,3.661926554,,1.905634069,0.063447545
421,BASALT,0.87,13.71,25.0312552,33.01900328,,0.57224408,0.71982826,2.937078478,1.433805483,2.511099005,0.057764461
422,BASALT,0.72,18.71,18.1,33.3,10,1.3,2.3,4.3,,1.58,0.3
424,BASALT,1.06,17.86,20,67,1,2.55,8.48,21.6,3.51,1.52,1.2
425,BASALT,0.82,16.17,23,47,,2.1,1.33,3.77,,2.25,0.05
426,BASALT,0.67,16.12,15.3,50,,1.06,7.16,10.73,2.12,1.78,0.61
427,BASALT,1.23,17.37,25.8,130,4,5.78,16.5,39,4.73,2.39,2.31
430,BASALT,1.03,16.58,26.3,104,,3.92,11,25.6,3.53,2.65,1.71
431,BASALT,1.0475,13.3157,29.94708971,42.0249509,,0.750394822,1.097587898,4.110077792,,3.377529267,0.063987516
432,BASALT,0.98,16.22,19.7,59.2,,2.7,5.9,13.6,,2,1.2
434,BASALT,0.67,18,15.5,50.6,,1.19,4.48,11.1,2.16,1.59,1.02
435,BASALT,1.5,18.3,34.5,111,,2.81,10.4,25,4.63,3.44,2.94
436,BASALT,1.81,15.3,44.7,154,3,3.75,13.6,32.3,,4.55,3.93
437,BASALT,0.98,16.6,19.5,29,7,0.22,1.55,4.7,,1.97,0.098
438,BASALT,1.05,17.4,20.1,30.7,,0.23,1.62,5,,2.14,0.121
439,BASALT,1.11,15.9,20.4,32,,0.23,1.75,5.1,1.93,2.28,0.126
440,BASALT,0.574,18.97,11.72687726,25.39621076,,0.101,0.661,2.05,0.858,1.139,0.087
441,BASALT,0.75,20.18,16.5,33.7,,0.763,3.66,8.35,1.97,1.67,0.419
442,BASALT,1.42,16.19,30.9,46.4,,0.43,2.01,6.75,2.85,2.92,0.147
443,BASALT,1.49,17.44,26.7,122,,5.1,12.5,28.4,4.71,2.75,1.89
444,BASALT,0.8,18.54,7.54,16.52,,0.28,1.23,10.56,,1.23,0.21
446,BASALT,0.85,15.56,18,71,,4.4,5.7,13.4,2.6,2.2,1.36
448,ANDESITE,1.75,18.55,45.7,149,11,5.5,,29.94,,4.44,2.39
449,BASALT,1.13,17.5,21.4,62.3,,1.42,3.76,10.16,2.56,1.97,0.304
450,BASALT,0.96,13.59,27.40070516,37.40030072,,0.939374058,1.232722117,4.225080728,1.897358076,2.853960825,0.059959425
452,BASALT,0.76,18.4,17.8,26.3,4,0.22,,4.8,1.64,1.88,0.136
456,BASALT,0.9965,14.1233,26.95455496,48.03766023,,1.000162515,1.556028121,5.496869563,2.15228579,2.877592009,0.08287029
458,BASALT,1.123,13.2279,29.33057369,24.51809956,13,0.809592357,,4.328475464,2.146154513,3.337806673,0.057860213
459,BASALT,1.7,14.73,38.1,114,,3.63,4,12.1,3.84,3.75,0.188
