FECHA;MINERAL SAG1;MINERAL SAG2
14-01-20 04:00;2921.030273;1814.44751
14-01-20 05:00;2944.999512;1779.015503
14-01-20 06:00;0;2020.905151
14-01-20 07:00;1093.038696;1.464888453
14-01-20 08:00;0;1.464888453
14-01-20 09:00;0;1.373332977
14-01-20 10:00;;
14-01-20 11:00;;
14-01-20 12:00;;
14-01-20 13:00;;
14-01-20 14:00;;
14-01-20 15:00;;
14-01-20 16:00;;
14-01-20 17:00;;
14-01-20 18:00;;
14-01-20 19:00;;
14-01-20 20:00;;
14-01-20 21:00;;
14-01-20 22:00;;
14-01-20 23:00;;
15-01-20 00:00;;
15-01-20 01:00;;
15-01-20 02:00;;
15-01-20 03:00;;
15-01-20 04:00;;
15-01-20 05:00;;
15-01-20 06:00;;
15-01-20 07:00;;
15-01-20 08:00;;
15-01-20 09:00;;
15-01-20 10:00;;
15-01-20 11:00;;
15-01-20 12:00;;
15-01-20 13:00;;
15-01-20 14:00;;
15-01-20 15:00;;
15-01-20 16:00;0;1.09866631
15-01-20 17:00;0;1.09866631
15-01-20 18:00;0;1.09866631
15-01-20 19:00;0;1.09866631
15-01-20 20:00;0;1.190221906
15-01-20 21:00;0;1.190221906
15-01-20 22:00;0;1.281777382
15-01-20 23:00;0;1.281777382
16-01-20 00:00;0;1.373332977
16-01-20 01:00;0;1.373332977
16-01-20 02:00;0;1.464888453
16-01-20 03:00;0;1.464888453
16-01-20 04:00;0;1.464888453
16-01-20 05:00;0;1.55644393
16-01-20 06:00;0;1.464888453
16-01-20 07:00;0;1.464888453
16-01-20 08:00;0;1.464888453
16-01-20 09:00;0;1.464888453
16-01-20 10:00;0;1.373332977
16-01-20 11:00;0;1.281777382
16-01-20 12:00;0;1.190221906
16-01-20 13:00;0;1.190221906
16-01-20 14:00;0;1.190221906
16-01-20 15:00;0;1.190221906
16-01-20 16:00;0;1.190221906
16-01-20 17:00;0;1.09866631
16-01-20 18:00;;
16-01-20 19:00;0;1.190221906
16-01-20 20:00;0;1.190221906
16-01-20 21:00;0;1.281777382
16-01-20 22:00;0;1.281777382
16-01-20 23:00;0;1.281777382
17-01-20 00:00;0;1.373332977
17-01-20 01:00;0;1.373332977
17-01-20 02:00;0;1.373332977
17-01-20 03:00;0;1.281777382
17-01-20 04:00;0;1.373332977
17-01-20 05:00;0;1.373332977
17-01-20 06:00;0;1.464888453
17-01-20 07:00;0;1.373332977
17-01-20 08:00;0;1.373332977
17-01-20 09:00;0;1.373332977
17-01-20 10:00;0;1.190221906
17-01-20 11:00;0;1.190221906
17-01-20 12:00;0;1.09866631
