pillar_id;area;heterogeneidad_geologica;calidad_roca;tiempo_solicitacion;altura_extraida;densidad_energia_sismica;resistencia_traccion;modulo_general_deformacion
NS_847;340.8094;Alta;Calidad mala;4;333;29.66813759;0.289;16.6
NS_848;342.6276;Media;Calidad mala;3;329;25.46188145;0.289;16.6
NS_849;344.7416;Baja;Calidad mala;10;290;19.79003792;0.25424;15.7073
NS_850;321.9382;Baja;Calidad muy mala;8.666666667;294;22.44661181;0.245;15.47
NS_851;276.1377;Media;Calidad muy mala;8;295;26.2813398;0.20047;13.7618
NS_852;325.6644;Baja;Calidad muy mala;7;294;31.94568997;0.184;13.13
NS_853;285.511;Alta;Calidad muy mala;7;292;40.0273119;0.25435;15.4549
NS_854;347.5192;Baja;Calidad mala;6.666666667;299;50.40960192;0.289;16.6
NS_855;265.0668;Baja;Calidad mala;6.666666667;0;57.04358485;0.289;16.6
NS_856;347.5192;Baja;Calidad mala;6;0;56.92339316;0.289;16.6
NS_857;314.7289;Baja;Calidad mala;5.333333333;310;52.76316808;0.289;16.6
NS_858;339.5936;Baja;Calidad mala;5.333333333;319;46.68514452;0.289;16.6
NS_859;280.8879;Baja;Calidad mala;4.333333333;321;40.14050948;0.289;16.6
NS_860;349.1414;Baja;Calidad mala;4;324;34.1115733;0.289;16.6
NS_861;307.2977;Media;Calidad mala;3;328;29.24627918;0.289;16.6
NS_862;344.7416;Baja;Calidad muy mala;8.666666667;293;20.26038829;0.245;15.47
NS_863;330.281;Media;Calidad muy mala;7;295;23.25310646;0.245;15.47
NS_864;329.3193;Media;Calidad muy mala;7;296;27.73589571;0.1901;13.364
NS_865;337.4996;Media;Calidad muy mala;7;293;34.27866906;0.184;13.13
NS_866;347.5192;Alta;Calidad muy mala;7;295;43.64366233;0.25923;15.6421
NS_867;347.5192;Baja;Calidad mala;6.666666667;0;54.47929028;0.289;16.6
NS_868;347.5192;Baja;Calidad mala;6.666666667;0;59.73533346;0.289;16.6
NS_869;347.5192;Baja;Calidad mala;5.333333333;0;58.08609823;0.289;16.6
NS_870;311.3784;Baja;Calidad mala;5.333333333;0;53.51567055;0.289;16.6
NS_871;356.8715;Baja;Calidad mala;4.333333333;316;46.54206276;0.289;16.6
NS_872;289.7093;Baja;Calidad mala;4;317;39.62196193;0.289;16.6
