X;Y;Z;Cu
267.6;105.5;97.4;3.97
160.4;133.1;131;3.96
163.5;166.5;123.4;3.28
178.9;134.9;131;3.88
178.9;134.9;119;3.92
270.4;88;131.8;3.99
180.7;103;108;3.98
171.8;166.4;132;3.97
160.4;133.1;119.5;3.96
170;184.1;131.8;3.95
270.4;88;119.8;3.91
150.2;178.1;60.2;3.89
184.1;90.7;120.6;3.88
260.3;105.4;76.6;3.86
210.5;508;132;3.28
155.7;118;84;3.78
210.5;132.9;120.2;3.71
264.3;105.5;87.9;3.67
311.2;95.7;132;3.65
184.1;90.7;108.6;3.47
180.7;103;120;3.39
180.4;118;108;3.34
420.4;283;120;3.18
155.7;118;72;3.14
180.4;118;120;3.12
120.4;133;84;3.02
240.4;493.1;108;2.97
180.4;223.2;119.9;2.95
209.9;537.7;132;2.91
151.7;537;132;2.88
363.4;109.7;38.7;2.81
210.5;508;120;2.77
236.5;519.8;54.1;2.77
253.1;509.6;10;2.74
180.4;193;120.4;2.71
210.5;508;108;2.69
240.4;493.1;120;2.69
210.4;118;90.6;2.68
256.3;105.4;65.3;2.65
170;184.1;119.8;2.65
180.4;118;96;2.63
167.1;402;130;2.62
234.1;161.8;51;2.61
210.4;118;97.6;2.61
180.4;163;107.1;2.58
210;508;84;2.58
270.4;448;71.7;2.57
184.1;90.7;96.6;2.57
146.1;422.1;132;2.56
210.6;237.8;96;2.53
240.4;493.1;84;2.52
240.4;493.1;96;2.52
170;184.1;95.8;2.51
151.7;537;120;2.51
180.7;103;132;2.51
311.2;95.7;120;2.49
232.4;520.2;65.3;2.46
210.4;118;121.6;2.46
210;508;60;2.44
210;283;12;2.42
270.4;118;132;2.42
150.3;58.3;132.4;2.42
210.5;478;132;2.41
270.4;478;95.7;2.42
178.9;134.9;107;2.39
120.4;403;111;2.37
150.2;178.1;108.2;2.36
180.2;312.5;120.1;2.35
240.4;493.1;48;2.34
210;508;24;2.33
150.3;303.2;108.3;2.33
210.4;148;123.5;2.33
171.7;323;106.3;2.32
210.4;118;109.6;2.32
120.4;343;120;2.32
180.4;223;132;2.31
210;178;84;2.29
240.4;103;107.4;2.27
209.9;537.7;120;2.27
155.7;118;48;2.27
323.4;418.4;24;2.25
240.4;493.1;36;2.24
302.2;282.2;120;2.23
109.7;313.2;60;2.23
210.4;118;132;2.22
191.7;102;108.8;2.22
240.6;519.3;42.8;2.21
170;184.1;83.8;2.21
210;508;72;2.21
120.4;403;132;2.21
270.4;508;96;2.21
210.6;237.8;108;2.22
210;148;24;2.24
356.6;406.8;36;2.23
120.4;403;123;2.22
270.4;418;36;2.19
120.4;403;99;2.19
180.4;193;132.4;2.18
210;283;84;2.18
270.4;478;131.7;2.16
300.4;463;95.3;2.15
180.4;313;120;2.15
228.3;520.6;76.6;2.14
150.4;388;107.9;2.13
241.4;519.6;15.1;2.13
305.1;463.6;110.9;2.13
180.4;163;95.1;2.11
210;178;60;2.11
210;178;72;2.11
180.4;223.2;83.9;2.12
170;184.1;107.8;2.09
202.2;523.7;67.9;2.09
180.4;193;84.4;2.09
120.4;403;87;2.09
210.8;523.6;76.2;2.08
210.5;478;120;2.08
224.2;521.1;87.9;2.07
180.4;538;84;2.07
210.4;118;120;2.07
230;162.1;62.2;2.06
256.8;511.5;33.6;2.06
244.7;518.9;31.5;2.06
254.9;510.6;21.8;2.06
180.4;118;72;2.05
171.7;323;130.3;2.04
300.4;463;106.8;2.04
240.4;223;96;2.04
240.4;493.1;24;2.04
240.4;493.1;60;2.04
180.4;522.9;72.2;2.04
180.2;312.5;108.1;2.04
109.7;313.2;48;2.04
143.3;522.6;89.9;2.03
249.9;519.7;23.5;2.03
150.2;178.1;96.2;2.03
180.4;118;60;2.02
220.1;521.5;99.1;2.02
240.4;223;12;2.02
158.6;401.9;121.5;2.02
270.8;148.1;108.2;2.01
171.7;323;94.3;2.01
270.4;478;119.7;2.01
150.4;388;83.9;2.01
308.5;458.2;64.3;2.01
305.1;463.6;86.9;2.02
150.2;147.6;120.1;2.04
240.5;343.1;96.1;2.07
180.4;538;96;2.05
148.7;293.3;102.2;2.01
210;478;24;1.99
180.4;522.9;84.2;1.99
180.4;223.2;71.9;1.99
210;283;24;1.98
210;508;48;1.98
300.4;433;106.9;1.98
323.4;418.4;12;1.97
150.4;388;95.9;1.97
180.4;223;120;1.97
260.4;513.5;57.2;1.97
150.4;388;131.9;1.96
150.8;132.9;107.8;1.96
155.7;118;60;1.96
240.3;462.6;12;1.96
240.4;433;132;1.96
180.4;463;59.6;1.96
210.5;132.9;108.2;1.96
305.1;463.6;98.9;1.95
240.4;253;120;1.95
180.4;163;83.1;1.95
420.4;283;132;1.94
180.4;118;48;1.94
210;148;72;1.94
146.1;422.1;108;1.94
180.4;522.9;24.2;1.94
109.9;423.6;91.9;1.94
210;508;96;1.93
150.4;388;119.9;1.93
360.7;223.4;48;1.93
180.2;312.5;96.1;1.93
180.4;118;41.5;1.93
210.4;148;111.5;1.93
258.6;512.5;45.4;1.92
141.7;401.9;104.5;1.92
150.4;418;107.9;1.92
210.4;148;87.5;1.92
210.4;118;133.6;1.91
248.9;518.5;20.3;1.91
150.4;238;132;1.91
180.4;223.2;95.9;1.91
133.3;401.8;96;1.91
175.2;403.2;39.3;1.91
210;178;48;1.95
180.4;163;119.1;1.92
116.4;401.7;78.9;1.93
193.6;523.8;59.5;1.89
210.5;478;108;1.89
210;478;96;1.89
240.4;103;83.9;1.89
129.5;162.7;120;1.89
120.4;133;96;1.89
167.3;521.8;85;1.88
180.4;163;131.1;1.88
240.4;223;132;1.88
171.7;323;118.3;1.88
124.8;401.8;87.4;1.87
240.4;103;119.4;1.87
160.4;522.6;106.8;1.86
210.4;388;120;1.86
210;178;12;1.86
150;208;24;1.86
180.5;553;108;1.86
180.4;223.2;107.9;1.86
210.5;448;119;1.86
120.4;403;75;1.86
150.3;303.2;120.3;1.85
180.4;343.1;95.8;1.85
217.2;102.1;134.1;1.84
189.2;340.8;132.1;1.84
195.6;166.9;64;1.84
208.7;102.1;125.7;1.84
150.4;253;108;1.83
356.6;406.8;24;1.83
180.4;223.2;59.9;1.83
228;523.5;93;1.82
258.4;519.8;32;1.82
210;508;36;1.82
241.1;133.6;132;1.82
180.4;253;131.6;1.82
180.4;538;72;1.82
120.8;492.9;120;1.82
256.2;463.1;25.1;1.81
134.8;522.5;81.5;1.81
180.4;522.9;60.2;1.81
180.4;463;131.6;1.81
172.3;340.5;115.2;1.81
270.1;447.8;60;1.81
150.4;388;23.9;1.81
150.4;268;120;1.81
305.1;463.6;74.9;1.81
180.4;403;71.6;1.81
305;458.6;52.9;1.79
210.5;508;96;1.79
180.4;193;108.4;1.79
120.4;343;108;1.79
266;516.4;92.7;1.78
270.4;478;83.7;1.78
150.4;253;120;1.78
180.4;193;72.4;1.78
262.3;514.4;69.1;1.78
150.2;148.2;131;1.78
120.4;373;101;1.78
330.4;478;119;1.77
270.4;448;119.2;1.77
264.1;515.4;80.9;1.77
270.4;418;48;1.76
268.7;128.2;108;1.76
259.9;463.1;13.6;1.76
150.2;401.9;113;1.76
210.4;178;69.1;1.75
150.8;132.9;119.8;1.75
180.4;163;71.6;1.75
185;523.8;51.1;1.74
210.4;358;119.3;1.74
150.2;147.6;108.1;1.74
180.4;118;84;1.73
150.4;238;120;1.73
300.4;133;131.5;1.73
180.4;538;120;1.73
171.7;522.1;73.8;1.73
120.8;492.9;108;1.73
180.8;340.7;123.7;1.72
290.8;460.1;7.1;1.72
210;283;96;1.71
270.3;208.2;12.2;1.71
270.8;237.8;132;1.71
300.4;163;108;1.71
240.4;223;72;1.71
103.5;399;42.6;1.71
270.4;508;120;1.71
210.4;358;47.3;1.71
155.9;297;111;1.71
155.2;166.7;114.7;1.71
180.4;463;35.6;1.71
162.7;209.3;37;1.71
240.3;462.6;108;1.71
240.4;103;95.4;1.69
270.4;478;47.7;1.69
270.4;478;59.7;1.69
300.4;433;118.9;1.69
240.4;253;108;1.69
180.4;538;108;1.69
305.1;463.6;50.9;1.69
192.5;224.2;45.8;1.68
193.6;523.3;18;1.68
270.4;418;60;1.68
180.4;613;107.8;1.68
204;166.7;72.6;1.68
390.4;178;71.6;1.67
210;178;24;1.67
120.4;343;60;1.67
210.4;298;130.8;1.67
180.4;283;107;1.66
180.4;463;119.6;1.66
120.4;403;63;1.66
294.3;459.7;18.5;1.65
176.4;523.9;42.7;1.65
150.4;418;119.9;1.65
240.3;462.6;60;1.65
240.4;493.1;72;1.65
241;373.3;59.7;1.65
120.4;373;113;1.65
180.4;463;47.6;1.64
347;348.2;77.9;1.64
323.4;418.4;72;1.64
149.8;447;60.3;1.64
120.2;133.6;132;1.64
90.4;88;108.2;1.64
198;523.6;6.8;1.63
312.1;457.8;75.8;1.63
210;478;72;1.63
210.4;298;132;1.63
360.6;343.4;24;1.63
360.7;223.4;60;1.63
240.4;283;84;1.63
180.4;433;72;1.63
305.1;463.6;62.9;1.63
162.5;163.3;73.8;1.62
219.4;523.6;84.6;1.62
210;283;60;1.62
323.4;418.4;36;1.62
269.9;238.4;132.8;1.62
210.6;237.8;120;1.62
150.4;253;84;1.62
150.4;208;132.3;1.62
120.4;403;55.5;1.62
146.9;166.9;106.1;1.62
270.4;298;117;1.61
210;418;72;1.61
300.4;163;120;1.61
180.4;522.9;48.2;1.61
180.4;313;132;1.61
168.9;522.7;115.2;1.61
311.2;95.7;60;1.61
240.4;163;108;1.61
117.2;342.8;57.9;1.61
151.8;522.6;98.3;1.61
323.4;418.4;60;1.61
150.4;388;35.9;1.61
301.2;374.1;60;1.61
120.2;133.6;120;1.61
210.4;148;75.5;1.61
364.6;400.1;50.6;1.59
300.4;493;131.2;1.59
270.4;478;107.7;1.59
270.4;358;72;1.59
301.2;374.1;72;1.59
240.6;193.6;84;1.59
186.6;492.7;120;1.59
323.3;358.7;84;1.58
301.2;374.1;108;1.58
302.2;282.2;132;1.58
210.4;358;107.3;1.58
163.8;340.4;106.7;1.58
154;163;83.8;1.58
120.4;373;89;1.58
270.4;358;132;1.57
210;148;48;1.57
150.5;253.4;132;1.57
210.4;298;82.8;1.57
357.6;400.6;60.4;1.56
270.4;418;24;1.56
240.4;253;60;1.56
171;403.2;50.6;1.56
201.5;224.2;68;1.55
210;478;60;1.55
150.5;253.4;108;1.55
150.4;208;120.3;1.55
240.4;223;84;1.55
238.7;518.9;17.8;1.55
180.4;522.9;96.2;1.55
176.1;522.3;62.7;1.55
163.1;300.7;119.9;1.55
120.8;492.9;132;1.55
267.8;517.3;104.5;1.54
240.4;163;120;1.54
240.4;103;131.4;1.54
238.7;518.9;24.3;1.54
170.7;523.9;37.1;1.54
330.6;418.2;84.1;1.54
268.7;128.2;84;1.54
241;373.3;107.7;1.54
180.4;253;119.6;1.54
178.9;134.9;95.5;1.54
177.5;522.7;123.6;1.54
270.4;448;83.2;1.54
112.8;397.9;20.6;1.54
271.5;519.2;128.1;1.53
300.4;433;94.9;1.53
247.5;147.9;119.4;1.53
356.6;406.8;48;1.53
238.7;518.9;108.3;1.53
366.9;102.9;37.7;1.53
120.8;492.9;96;1.53
252.6;463;36.5;1.52
368.9;102.9;49.5;1.52
197;224.2;56.9;1.52
240.4;493.1;12;1.52
180.4;403;119.6;1.52
344.7;348.1;71.8;1.52
240.4;313;119.1;1.52
210.5;448;131;1.52
120.2;442.4;95.8;1.52
179.4;403.3;28.1;1.51
325.3;388.3;60;1.51
150.2;148.2;119.5;1.51
240.4;223;108;1.51
149.8;481.2;131.5;1.51
111.1;162.6;85.1;1.51
120.4;193;72;1.51
237.8;166.1;106.7;1.51
299.7;127.8;30.4;1.51
187.5;281.8;121;1.51
170.5;281.8;104.1;1.51
270.4;478;35.7;1.51
270.4;328;60;1.51
150;238;84;1.51
288.7;225.7;36;1.51
170;184.1;71.8;1.51
210;283;72;1.51
120.5;463;95.7;1.51
109.7;313.2;72;1.51
247.5;147.9;107.4;1.49
236.6;523.4;101.4;1.49
187.9;224.2;34.7;1.49
158.2;163.1;85;1.49
333.6;386.8;132;1.49
270.9;268.1;108;1.49
210.5;478;84;1.49
210;478;12;1.49
210;478;84;1.49
210.4;328;83.1;1.49
288.7;225.7;24;1.49
180;373;84;1.49
120.4;553;72;1.49
90.4;88;96.2;1.49
150.5;253.4;120;1.48
240.3;462.6;36;1.48
180.4;343.1;107.8;1.48
270.8;148.1;96.2;1.47
184.8;522.8;40.3;1.47
270.4;508;132;1.47
210.4;253;120;1.47
356.6;406.8;12;1.47
180.4;433;108;1.47
180.4;433;84;1.47
167.2;209.6;25.9;1.46
180.4;463;107.6;1.46
170.4;304.4;128.7;1.46
270.1;447.8;12;1.46
210;148;84;1.46
240.3;462.6;48;1.46
240.4;253;96;1.46
239.8;133.3;122;1.46
120.4;523;84.2;1.46
186.6;402.4;49.1;1.45
270.4;508;108;1.45
270.7;177.6;96.3;1.45
210;478;36;1.45
150.3;508;96.1;1.45
150.8;132.9;59.8;1.45
240.4;403;132;1.45
417.8;212.2;16.7;1.44
300.2;342.9;132;1.44
311.2;115.7;13.2;1.44
242.4;161.2;28.5;1.44
270.4;328;96;1.44
270.8;148.1;120.2;1.44
210.4;328;95.1;1.44
355;109.5;30.1;1.44
180.5;522.6;51.5;1.44
180.4;283;95;1.44
210.4;298;106.8;1.44
311.2;95.7;72;1.43
200.2;102;117.2;1.43
270.4;358;84;1.43
210;478;48;1.43
205;388;84;1.43
210.4;148;68;1.43
240.4;223;36;1.43
180.4;193;96.4;1.43
232.9;519.5;6.6;1.43
224.1;224.2;123.6;1.43
294;133.8;39.1;1.42
259.8;403;48.6;1.42
238.3;161.5;39.7;1.42
180.4;463;23.6;1.42
113;339.5;55.7;1.42
155.3;340.2;98.2;1.42
210.5;268;108;1.42
150.4;268;108;1.42
180.4;522.9;120.2;1.42
120.4;523;96.2;1.42
179.7;163.9;29;1.42
210.4;148;99.5;1.42
246.2;165.9;115.2;1.41
238.7;518.9;60.3;1.41
210;283;48;1.41
255.7;147.9;24.3;1.41
210.5;132.9;72.2;1.41
150.4;253;96;1.41
150.4;208;84.3;1.41
180.5;553;120;1.41
180.4;433;132;1.41
210.4;88;95.4;1.41
278;178;109.1;1.41
192;342.8;37.2;1.41
209.2;418;72.2;1.41
150.4;388;59.9;1.41
370.9;102.9;61.3;1.41
343.7;401.4;79.9;1.41
300.4;433;130.9;1.41
187.9;342.8;48.5;1.41
270.4;298;129;1.41
264.1;343.2;112.5;1.39
278;178;61.1;1.39
238.7;518.9;36.3;1.39
270.4;388;71.1;1.39
210.7;447.4;107.3;1.39
150.4;208;96.3;1.39
420.4;283;108;1.39
241;373.3;71.7;1.39
180.4;522.9;36.2;1.39
120.4;343;132;1.39
253.8;523.3;118.1;1.38
186;522.8;132;1.38
135;521.8;8;1.38
180.4;463;95.6;1.38
330.5;387.5;131.5;1.38
210;148;36;1.38
146.1;422.1;120;1.38
240.4;223;60;1.38
180.4;403;83.6;1.38
272.7;343.2;120.9;1.38
371.8;110;47.3;1.37
240.4;105.2;20;1.37
330.6;418.2;132.1;1.37
270.4;358;120;1.37
210;208;24;1.37
150.4;388;71.9;1.37
300.4;433;83.4;1.37
243;578.6;132;1.37
210.4;178;78.6;1.37
259.4;170;90.9;1.36
210.7;447.4;119.3;1.36
244.4;105.2;31.3;1.36
276.4;282.3;7.6;1.36
270.4;328;108;1.36
269.9;238.4;72.8;1.36
210.6;237.8;132;1.36
210;208;48;1.36
150.4;358;120.1;1.36
300.2;342.9;60;1.36
239.8;133.3;55.5;1.36
186.6;492.7;108;1.36
180.4;433;60;1.36
120.4;523;132.2;1.36
270.9;523.2;134.9;1.35
323;478;99.8;1.35
338.3;109;12.9;1.35
158.5;403;84.4;1.35
166.9;403.1;61.8;1.35
189.2;523.1;29.1;1.35
179;281.8;112.6;1.35
270;298;87;1.35
161.8;167.6;29.9;1.35
330.5;387.5;107.5;1.35
270.4;478;71.7;1.35
270.4;358;108;1.35
270.4;328;132;1.35
240.4;163;36;1.35
390.2;148.1;84.2;1.34
239.8;133.3;62;1.34
162.7;403;73.1;1.34
255.7;147.9;12.3;1.34
240.4;343;124;1.34
240.6;193.6;96;1.34
238.7;518.9;120.3;1.34
112.4;424.8;80.2;1.34
210;63.9;133.8;1.34
240.4;313;83.1;1.33
270.1;447.8;36;1.33
210;208;12;1.33
210;208;60;1.33
150.3;508;84.1;1.33
150;358;48;1.33
301.2;374.1;96;1.33
300.2;313.2;12;1.33
240.4;223;120;1.33
240.4;163;48;1.33
180.4;403;120;1.33
180;373;48;1.33
270.4;448;95.2;1.33
153.4;167.7;21.4;1.33
107.9;401.7;70.4;1.33
390.2;148.1;132.2;1.32
390.4;178;95.1;1.32
268.3;238.2;59;1.32
350.6;401;70.1;1.32
210.4;298;70.8;1.32
210.7;447.4;83.3;1.32
167;403.2;24.4;1.32
270.4;328;84;1.32
270.4;178.1;120;1.32
150.4;343;47.9;1.32
150;208;84;1.32
240.3;462.6;24;1.32
180.5;553;132;1.32
210.5;448;107;1.32
215.1;224.2;101.4;1.32
107;162.7;96.4;1.32
300.4;493;119.2;1.31
170;184.1;35.8;1.31
210.4;178;114.6;1.31
155.7;118;24;1.31
240.4;373;108;1.31
240.5;343.1;120.1;1.31
180.4;433;120;1.31
196.1;342.9;26;1.31
180.4;283;119;1.31
108.1;398.4;31.6;1.31
120.5;463;83.7;1.31
76;641.4;41.9;1.31
90.4;88;132.2;1.31
223;463.6;106.6;1.31
210.4;298;94.8;1.31
170;184.1;59.8;1.31
188.3;164.2;6.6;1.31
323.4;418.4;48;1.31
210.4;553;96.1;1.31
210.5;268;120;1.31
180.4;283;120;1.31
129.5;162.7;96;1.31
210.4;358;83.3;1.31
210.4;298;118.8;1.31
210.4;148;135.5;1.31
270.4;508;84;1.29
210.5;478;96;1.29
210.7;447.4;71.3;1.29
210;418;96;1.29
210.4;358;132;1.29
210;178;36;1.29
150.4;298;132;1.29
150.2;147.6;72.1;1.29
356.6;406.8;120;1.29
300.5;253.1;78.3;1.29
240.5;343.1;72.1;1.29
206;224.2;79.1;1.29
67.4;641.3;33.6;1.29
240.4;313;107.1;1.28
270.2;268.4;24.3;1.28
269.5;269.3;120.9;1.28
360.6;343.4;12;1.28
240.3;462.6;84;1.28
240.4;403;95.1;1.28
241;373.3;83.7;1.28
240.5;343.1;60.1;1.28
180.5;373;120;1.28
180.4;463;71.6;1.28
229.7;343.3;79.1;1.28
210.4;418;95;1.28
120.2;442.4;83.8;1.28
266.9;519.9;40.5;1.27
270.8;148.1;84.2;1.27
248.3;105.3;42.7;1.27
210.4;553;108.1;1.27
240.5;343.1;84.1;1.27
129.5;162.7;48;1.27
184;164.1;17.8;1.27
219.6;224.2;112.5;1.27
388.5;110.5;64.5;1.26
212.5;166.6;81.1;1.26
150;208;12;1.26
420.4;283;84;1.26
306;309.3;113.5;1.26
240.4;253;132;1.26
180.4;433;96;1.26
180.4;223.2;47.9;1.26
146.9;340.1;89.7;1.26
139.3;163.7;25.6;1.26
210.4;418;107;1.26
180.4;463;83.6;1.26
170;184.1;11.8;1.26
82;393.4;132;1.26
378.6;399.3;31.1;1.25
210.7;447.4;35.3;1.25
126.9;522;30.6;1.25
270.4;208;120;1.25
150.4;418;23.9;1.25
150.4;418;131.9;1.25
150.4;343;107.9;1.25
150;208;48;1.25
240.3;433.1;59.6;1.25
180;373;12;1.25
180.4;492.9;96.1;1.25
300.5;253.1;84.8;1.25
240.4;343;136;1.25
238.7;518.9;48.3;1.25
390.2;148.1;120.2;1.24
125;342.9;67.1;1.24
231.5;463.6;115.1;1.24
252.3;105.3;54;1.24
301.4;459;41.4;1.24
238.7;518.9;72.3;1.24
238.7;518.9;96.3;1.24
188.8;463.5;72.9;1.24
329.8;219.1;78.5;1.24
210;418;36;1.24
210;418;84;1.24
306.9;200.8;119.7;1.24
241.1;133.6;120;1.24
239.8;133.3;134;1.24
297.9;459.4;30;1.24
307.8;560.7;120;1.23
305.1;463.6;38.9;1.23
270.4;448;107.2;1.23
395.3;207.8;71.8;1.23
269.9;238.4;120.8;1.23
210;208;84;1.23
150.4;343;119.9;1.23
150.2;178.1;120.2;1.23
150.2;147.6;96.1;1.23
360.6;343.4;60;1.23
140.4;343.2;85.5;1.23
270;298;51;1.23
210.4;418;71;1.23
300.4;463;130.8;1.22
336.7;401.9;89.7;1.22
169.5;458.9;133.4;1.22
167;403.2;36.4;1.22
325.3;388.3;72;1.22
325.3;388.3;84;1.22
323.3;358.7;48;1.22
269.5;269.3;60.9;1.22
210.7;447.4;23.8;1.22
210.4;388;132;1.22
149.8;447;96.3;1.22
302.2;282.2;48;1.22
180.4;403;108;1.22
180.4;522.9;108.2;1.22
180.4;403;59.6;1.22
238.3;343.3;87.5;1.22
239.8;133.3;110;1.22
90;88;48;1.22
267;403;39;1.21
180.3;463.5;64.5;1.21
270;358;56;1.21
269.5;269.3;84.9;1.21
150.4;208;108.3;1.21
151.3;85.7;132.8;1.21
240.4;433;120;1.21
239.9;79.5;54.9;1.21
170;184.1;47.8;1.21
268.3;238.2;95;1.21
187.2;167.1;55.5;1.21
90.4;207.9;59.7;1.21
184.1;90.7;48.6;1.21
158.2;209.1;48.2;1.21
330.4;478;131;1.21
248.6;463.6;131.9;1.21
270;358;80;1.21
209.2;418;84.2;1.21
210.4;388;72;1.21
150.4;358;96.1;1.21
180.4;403;95.6;1.21
175.4;163.7;40.2;1.21
196;281.8;129.5;1.21
177.4;457.7;27;1.21
102.3;420;126.9;1.21
98.6;105.8;116.3;1.21
90;118;84;1.21
275.4;520;48.9;1.19
210.5;448;95;1.19
268.7;128.2;120;1.19
210.5;598;132;1.19
239.7;312.8;84;1.19
180;373;36;1.19
180.4;492.9;108.1;1.19
129.5;162.7;60;1.19
90;88;60;1.19
90;88;108;1.19
207.1;64.2;84.9;1.18
131;521.9;19.3;1.18
138.6;167;97.4;1.18
268.7;128.2;96;1.18
210.4;553;120.1;1.18
210;208;36;1.18
150.4;418;59.9;1.18
150.4;418;71.9;1.18
150.4;343;71.9;1.18
150.2;178.1;48.2;1.18
356.6;406.8;60;1.18
329.7;402.3;99.4;1.18
120.4;163;117.2;1.18
98.8;399.6;53.7;1.18
120.4;193;84;1.18
390.4;178;83.1;1.17
210.4;328;119.1;1.17
270;358;8;1.17
270.4;328;12;1.17
210.4;388;108;1.17
150.4;388;47.9;1.17
150.4;343;35.9;1.17
240.3;462.6;120;1.17
120.4;523;120.2;1.17
210.4;178;102.6;1.17
239.8;133.3;86;1.17
239.9;79.5;61.4;1.17
120.4;343;96;1.17
92.5;523.7;12.7;1.17
90.4;88;120.2;1.17
183.4;224.2;23.6;1.16
270;298;63;1.16
255;281;114.9;1.16
241.7;403.3;48.4;1.16
166.8;163.4;62.6;1.16
185.2;342.7;56.1;1.16
205;388;72;1.16
210.5;268;84;1.16
150.3;508;72.1;1.16
149.8;447;108.3;1.16
150.4;418;47.9;1.16
150.4;418;83.9;1.16
150.4;343;95.9;1.16
300.3;253.2;132;1.16
240.3;433.1;119.6;1.16
180;373;72;1.16
180.4;492.9;24.1;1.16
253;518;9;1.16
255.5;343.2;104.2;1.16
388;118.4;84.7;1.15
419.3;343.5;132.2;1.15
385.5;398.8;21.4;1.15
300.5;253.1;120.8;1.15
239.8;403.2;27.1;1.15
270.4;418;12;1.15
209.2;418;36.2;1.15
210.4;388;84;1.15
210.4;253;108;1.15
152.3;88;24;1.15
152.3;88.2;24;1.15
305.1;463.6;26.9;1.15
301.2;374.1;48;1.15
239.7;312.8;96;1.15
180.4;253;59.6;1.15
270.5;538;130.8;1.15
180.4;283;131;1.15
210.4;328;107.1;1.15
120.5;463;107.7;1.15
120.2;442.4;131.8;1.15
346.7;109.3;21.5;1.14
383.1;202.9;53.5;1.14
241.7;403.3;12.4;1.14
270.4;508;72;1.14
