Date Fixed;X;Y;Z;Location Error;Moment;Energy
09-02-10;1296.7;161.39;2671.468731;11;1.23E+10;2.90E+04
09-02-10;1260.63;148.28;2600.838731;7;1.30E+10;3.66E+04
09-02-10;1672.09;132.4;1624.518731;52;3.33E+09;4.21E+05
09-02-10;1427.65;2023.14;3013.368731;115;6.95E+08;2.97E+05
10-02-10;1373.54;1084.3;2810.068731;7;5.97E+08;1.22E+04
10-02-10;1291.78;131.54;2617.968731;11;5.92E+09;1.02E+04
10-02-10;1307.62;135.26;2579.268731;12;1.64E+10;4.43E+04
10-02-10;1534.86;-494.99;2810.288731;10;1.63E+10;1.30E+04
11-02-10;1284.97;141.8;2655.478731;11;1.43E+10;2.06E+04
12-02-10;1218.29;121.62;2661.448731;14;5.70E+09;1.21E+04
12-02-10;812.02;927.89;2500.198731;9;5.44E+09;1.66E+04
12-02-10;1120.56;679.28;2692.108731;9;4.99E+09;2.28E+04
13-02-10;1729.93;463.9;3256.358731;12;7.05E+09;2.27E+04
13-02-10;1139.45;558.78;2465.298731;10;3.47E+08;3.32E+04
14-02-10;1260.66;143.16;2594.668731;8;9.60E+09;1.54E+04
14-02-10;1280.26;151.39;2597.988731;8;6.72E+09;1.24E+04
14-02-10;1291.92;128.6;2621.068731;9;7.50E+09;1.75E+04
14-02-10;1200.71;140.18;2608.228731;9;3.53E+10;1.31E+05
14-02-10;1170.82;94.6;2591.958731;10;8.54E+09;1.65E+04
14-02-10;679.72;662.63;2650.708731;14;5.51E+09;1.88E+04
15-02-10;1301.73;149.59;2596.898731;11;6.57E+09;1.37E+04
15-02-10;1295.71;147.63;2651.258731;14;1.01E+10;1.92E+04
16-02-10;-2579.75;877.89;4702.508731;103;1.74E+09;2.17E+04
17-02-10;797.69;1294.87;2588.088731;11;9.71E+08;1.35E+04
17-02-10;822.11;1256.35;2522.868731;10;1.91E+08;3.05E+04
17-02-10;1222.14;121.01;2649.058731;8;8.58E+09;1.37E+04
18-02-10;1087.44;629.91;2631.948731;8;7.95E+10;1.20E+05
18-02-10;1289.78;140.03;2640.408731;7;7.30E+09;1.02E+04
19-02-10;1257.7;149.22;2598.198731;7;5.40E+09;1.12E+04
20-02-10;1280.47;161.17;2609.038731;9;2.05E+10;3.97E+04
20-02-10;1287.57;131.58;2632.698731;12;2.57E+10;2.68E+04
20-02-10;778.39;877.33;2533.398731;10;9.65E+09;3.14E+04
20-02-10;805.23;848.53;2458.548731;10;2.44E+11;1.76E+06
20-02-10;865.84;-481.18;2711.358731;14;7.62E+09;1.69E+04
21-02-10;883.01;-454.36;2707.328731;15;1.02E+10;3.98E+04
22-02-10;1195.16;127.44;2602.668731;7;8.20E+09;1.10E+04
23-02-10;1124.43;369.44;2612.698731;21;2.83E+09;3.96E+04
24-02-10;1186.32;606.53;2640.228731;11;1.86E+10;1.96E+04
24-02-10;734.91;786.46;2559.748731;8;3.95E+10;1.39E+05
24-02-10;509.82;1036.5;2469.008731;11;4.11E+08;1.24E+04
25-02-10;1796.48;164.33;2508.808731;14;6.39E+08;3.49E+04
25-02-10;831.19;1264.76;2524.908731;10;1.20E+09;1.62E+04
25-02-10;747.08;1027.47;2506.248731;10;8.09E+08;1.32E+04
25-02-10;1558.72;757.59;3084.848731;11;2.03E+09;1.67E+04
25-02-10;1851.61;432.68;2865.628731;17;1.07E+11;1.60E+05
26-02-10;1291.35;147.34;2595.728731;12;1.89E+10;4.04E+04
26-02-10;4292.19;-3159.92;5292.388731;104;3.31E+11;3.22E+07
26-02-10;-1713.2;1242.65;3619.908731;206;3.20E+10;4.50E+04
26-02-10;1389.22;-516.77;2780.188731;24;2.42E+10;4.05E+04
26-02-10;625.78;-1023.99;1874.958731;114;2.06E+09;3.17E+04
26-02-10;-445.18;-580.39;3624.268731;75;1.97E+09;6.23E+04
26-02-10;901.97;-785;1959.718731;75;3.10E+09;5.39E+04
26-02-10;534.02;927.14;2552.188731;135;1.47E+09;1.40E+05
26-02-10;200.86;-237.99;3975.618731;159;1.51E+09;3.50E+04
26-02-10;724.6;952.3;2592.728731;101;7.94E+08;4.32E+04
01-03-10;1281.04;153.95;2599.738731;10;7.46E+09;1.46E+04
01-03-10;1768.11;635.85;2947.358731;10;3.85E+09;2.94E+04
01-03-10;2264.03;439.71;3649.008731;13;6.96E+10;1.42E+04
02-03-10;1518.19;786.48;3113.628731;16;3.27E+09;1.29E+04
02-03-10;1718.19;220.38;2427.478731;15;4.42E+09;3.00E+04
02-03-10;673.06;750.74;2351.018731;7;1.29E+10;1.42E+04
02-03-10;1003.96;2020.51;2127.068731;11;5.78E+08;2.57E+04
03-03-10;896.84;1292.33;2708.308731;72;7.27E+08;1.60E+04
03-03-10;1294.8;2690.25;2262.568731;46;9.00E+08;2.61E+04
04-03-10;2496.68;4141.75;1773.488731;11;1.52E+10;1.75E+05
04-03-10;1677.16;1151.55;3261.908731;9;6.89E+09;1.66E+04
05-03-10;466.42;66.92;2228.358731;9;3.09E+09;1.13E+04
05-03-10;1751.49;627.68;2945.228731;9;2.53E+09;1.14E+05
05-03-10;1410.27;97.36;2584.088731;15;1.13E+10;3.82E+04
05-03-10;1067.47;-2279.8;1924.638731;188;5.83E+08;1.64E+05
05-03-10;1208.93;2755.81;2127.788731;10;9.29E+08;1.14E+04
06-03-10;1043.69;532.2;2602.878731;10;1.11E+10;1.54E+05
