X;Y;Z
2436.498737;794.0887367;1352.33
2451.508737;794.0687367;1352.33
2421.468737;794.0687367;1352.33
2421.448737;790.0787367;1352.33
2421.458737;792.0687367;1352.33
2451.498737;795.0687367;1352.33
2451.508737;802.0687367;1352.33
2451.508737;805.0687367;1352.33
2451.498737;801.0987367;1352.33
2451.498737;797.0587367;1352.33
2451.478737;799.0587367;1352.33
2576.268737;842.0787367;1352.33
2451.508737;988.1287367;1352.33
2421.418737;988.1987367;1352.33
2460.018737;988.1787367;1352.33
2481.518737;984.2587367;1352.33
2472.778737;984.2487367;1352.33
2391.418737;988.2687367;1352.33
2331.498737;994.0687367;1352.33
2301.568737;994.0787367;1352.33
2331.528737;1000.888737;1352.33
2361.378737;988.3387367;1352.33
2345.258737;988.4987367;1352.33
2576.288737;924.0287367;1352.33
2576.258737;936.0787367;1352.33
2576.278737;918.0787367;1352.33
2576.268737;906.0787367;1352.33
2576.258737;912.0787367;1352.33
2576.268737;940.0687367;1352.33
2541.528737;984.1787367;1352.33
2511.488737;984.1887367;1352.33
2576.238737;984.2487367;1352.33
2576.258737;944.0687367;1352.33
2576.258737;976.0787367;1352.33
2271.688737;743.0787367;1352.33
2271.678737;744.0887367;1352.33
2271.678737;742.0887367;1352.33
2241.688737;742.1087367;1352.33
2256.468737;742.0887367;1352.33
2271.688737;745.0787367;1352.33
2331.688737;757.0787367;1352.33
2361.418737;757.0887367;1352.33
2331.688737;748.0787367;1352.33
2301.688737;745.0787367;1352.33
2301.688737;748.0787367;1352.33
2181.448737;738.0487367;1352.33
2181.458737;740.0687367;1352.33
2181.458737;737.0787367;1352.33
2181.448737;734.0787367;1352.33
2181.488737;736.0787367;1352.33
2181.458737;750.0787367;1352.33
2226.468737;749.0987367;1352.33
2241.688737;749.0787367;1352.33
2211.688737;749.0787367;1352.33
2196.508737;750.1087367;1352.33
2211.688737;750.0787367;1352.33
2361.418737;761.0787367;1352.33
2376.378737;780.0687367;1352.33
2391.548737;780.0787367;1352.33
2361.468737;780.0787367;1352.33
2361.458737;778.0587367;1352.33
2361.468737;779.0587367;1352.33
2391.558737;781.1087367;1352.33
2421.468737;787.0787367;1352.33
2421.468737;788.0487367;1352.33
2406.438737;787.0587367;1352.33
2391.558737;785.0787367;1352.33
2391.568737;787.0787367;1352.33
2361.388737;766.0687367;1352.33
2361.388737;768.0787367;1352.33
2361.398737;765.0787367;1352.33
2361.388737;762.0787367;1352.33
2361.388737;764.0687367;1352.33
2361.418737;769.0887367;1352.33
2361.428737;774.0787367;1352.33
2361.438737;776.0787367;1352.33
2361.428737;773.0687367;1352.33
2361.408737;770.0787367;1352.33
2361.408737;772.0687367;1352.33
