x,y,z,area,frec_fracturas,sigma_z,tiraje_prom
1215.5154000000005,368.3046999999999,2346,295.7595,3.07,10.476528,133.194
1249.9399000000003,372.1765999999999,2346,295.7595,3.07,10.538074,137.745
1284.3644000000006,376.0484999999999,2346,295.7595,3.07,10.678104,144.999
1318.7889000000007,379.9203999999999,2346,295.7595,1.87,10.431927,154.359
1353.2134000000008,383.79229999999984,2346,295.7595,3.07,14.211726,155.929
1002.4324,330.1015,2346,347.3086,0.3075,12.016153,131.609
1036.8568,333.9735,2346,347.3086,0.954,10.28101,128.807
1071.2812,337.8455,2346,347.3086,1.225,10.326178,125.748
1105.7055999999998,341.71750000000003,2346,347.3086,1.1225,10.389875,125.538
1140.1299999999997,345.58950000000004,2346,347.3086,3.07,10.853342,128.452
1174.5543999999995,349.46150000000006,2346,347.3086,3.07,10.165324,131.461
1208.9787999999994,353.3335000000001,2346,347.3086,3.07,10.439993,133.505
1243.4031999999993,357.2055000000001,2346,347.3086,3.07,10.577274,137.747
1277.8275999999992,361.0775000000001,2346,347.3086,3.07,10.55411,146.119
1312.251999999999,364.9495000000001,2346,347.3086,0.8380000000000001,10.280532,154.457
1346.676399999999,368.8215000000001,2346,347.3086,1.63,13.366655,161.735
1381.1007999999988,372.69350000000014,2346,347.3086,3.07,18.070922,151.23
1029.9416,318.1308,2346,345.9426,0.7230000000000001,10.547006,130.791
1064.3649,322.0002,2346,345.9426,1.02,10.1693,126.7
1098.7882,325.8696,2346,345.9426,1.6349999999999998,10.30231,126.214
1133.2115,329.739,2346,345.9426,3.07,10.931555,128.184
1167.6347999999998,333.6084,2346,345.9426,3.07,10.154631,131.548
1202.0580999999995,337.47779999999995,2346,345.9426,3.07,10.355816,133.596
1236.4813999999997,341.3472,2346,345.9426,3.07,10.578726,136.832
1270.9046999999996,345.2165999999999,2346,345.9426,3.07,10.508075,145.316
1305.3279999999995,349.0859999999999,2346,345.9426,0.766,10.67731,152.903
1339.7512999999994,352.9553999999999,2346,345.9426,0.67,10.875177,167.036
1374.1745999999994,356.82479999999987,2346,345.9426,2.878,15.935473,155.854
1023.5874,303.5802,2346,272.8603,0.558,11.262321,132.219
1058.0107,307.4496,2346,272.8603,0.9738,10.284748,127.386
1092.4340000000002,311.319,2346,272.8603,1.02,10.249886,126.422
1126.8573000000004,315.18839999999994,2346,272.8603,2.25,10.963632,128.027
1161.2806000000005,319.0578,2346,272.8603,3.07,10.14505,131.025
1195.7039000000009,322.9271999999999,2346,272.8603,3.07,10.45862,133.086
1230.1272000000008,326.7965999999999,2346,272.8603,3.07,10.553826,135.029
1264.550500000001,330.6659999999999,2346,272.8603,3.07,10.59907,142.827
1298.9738000000011,334.53539999999987,2346,272.8603,0.7180000000000001,10.7541,150.934
1333.3971000000013,338.40479999999985,2346,272.8603,0.67,10.523527,165.415
1367.8204000000014,342.27419999999984,2346,272.8603,2.278,13.659242,159.957
1402.2437000000016,346.1435999999998,2346,272.8603,3.07,19.002368,145.761
1017.802,290.3253,2346,271.301,0.492,12.190162,130.462
1052.2265,294.1973,2346,271.301,0.9738,10.39971,128.276
1086.6509999999998,298.06929999999994,2346,271.301,1.02,10.365419,126.702
1121.0754999999997,301.9412999999999,2346,271.301,1.02,10.769198,128.441
1155.4999999999995,305.81329999999986,2346,271.301,3.029,10.871436,130.184
1189.9244999999994,309.6852999999998,2346,271.301,3.07,10.454398,132.21
1224.3489999999993,313.55729999999977,2346,271.301,3.07,10.553553,133.789
1258.773499999999,317.4292999999997,2346,271.301,3.07,10.703747,139.211
1293.197999999999,321.3012999999997,2346,271.301,0.8620000000000001,10.897721,148.311
1327.6224999999988,325.17329999999964,2346,271.301,0.67,10.721166,159.969
1362.046999999999,329.0452999999996,2346,271.301,1.63,12.80363,160.276
1396.4714999999983,332.9172999999996,2346,271.301,3.07,16.840734,147.386
1012.6077,278.4268,2346,194.7098,0.417,12.606192,128.552
1047.0321,282.2987,2346,194.7098,1.02,10.589046,128.598
1081.4564999999998,286.1706,2346,194.7098,0.9672,10.466927,127.035
1115.8808999999997,290.0425,2346,194.7098,1.02,10.516921,128.966
1150.3052999999995,293.91439999999994,2346,194.7098,2.3525,11.011858,130.115
1184.7296999999994,297.7862999999999,2346,194.7098,3.07,10.313199,131.91
1219.1540999999993,301.6581999999999,2346,194.7098,3.07,10.513327,132.855
1253.5784999999992,305.5300999999999,2346,194.7098,3.07,10.751258,136.714
1288.002899999999,309.4019999999999,2346,194.7098,1.99,10.926543,146.256
1322.427299999999,313.27389999999986,2346,194.7098,0.67,10.901688,156.536
1356.8516999999988,317.14579999999984,2346,194.7098,1.03,11.635864,156.614
1391.276099999999,321.0176999999998,2346,194.7098,3.07,14.181527,148.208
1007.9933,267.8566,2346,194.7749,0.213,13.082364,127.394
1042.4176,271.7284,2346,194.7749,1.02,10.780535,126.879
1076.8419,275.60020000000003,2346,194.7749,0.9606,10.210907,127.646
1111.2661999999998,279.47200000000004,2346,194.7749,1.02,10.294438,129.597
1145.6904999999997,283.34380000000004,2346,194.7749,1.7374999999999998,11.086905,130.502
1180.1147999999996,287.21560000000005,2346,194.7749,3.07,10.218948,131.66
1214.5390999999995,291.08740000000006,2346,194.7749,3.07,10.454408,131.664
1248.9633999999994,294.95920000000007,2346,194.7749,3.07,10.735662,135.902
1283.3876999999993,298.8310000000001,2346,194.7749,2.782,10.934958,144.861
1317.8119999999992,302.7028000000001,2346,194.7749,0.67,10.957827,151.909
1352.2362999999991,306.5746000000001,2346,194.7749,0.67,11.384472,153.326
1386.660599999999,310.4464000000001,2346,194.7749,3.046,13.594618,146.909
1002.2222,254.6364,2346,347.3801,0.171,13.784659,125.779
1036.6461,258.5071,2346,347.4369,0.893,11.160853,126.281
1071.07,262.3778,2346,347.4937,0.954,10.272857,127.348
1105.4585,266.2445,2346,346.7385,1.02,10.183587,129.744
1141.416,270.1372,2346,384.409,1.2795,10.97444,130.962
1175.5055,273.2994,2346,369.2179,3.07,10.99742,130.838
1208.4941,277.7024,2346,355.0905,3.07,10.408388,131.103
1243.1238,281.7246,2346,345.3233,3.07,10.610503,133.842
1277.5696,285.5964,2346,350.7341,2.878,10.900858,140.466
1312.1199,289.482,2346,347.8899,0.91,11.177424,146.791
1346.5435,293.3526,2346,347.9437,0.67,11.357841,147.734
1380.9575,297.2224,2346,347.7794,2.7099999999999995,12.951957,143.432
1415.3921,301.0942,2346,348.5064,3.07,18.208534,140.967
1420.2681,314.1407,2346,183.5212,3.07,20.67544,141.254
1237.9237,265.5143,2346,356.6527,3.07,10.61313,132.08
1271.6451,270.0693,2346,327.8829,3.07,11.076346,135.874
1305.1872,273.6019,2346,347.5109,1.102,11.28079,139.78
1339.6101,277.471,2346,347.5007,0.67,11.445603,138.665
1374.0182,281.3397,2346,347.1665,2.23,12.383657,139.419
1408.4457,285.2097,2346,347.9204,3.07,14.637202,139.888
1297.3894,252.165,2346,582.6417,0.982,11.364854,128.731
1333.5557,262.1382,2346,318.7125,0.67,11.306879,134.366
1367.0854,265.471,2346,346.7384,1.5579999999999998,11.92782,136.215
1401.5062,269.3402,2346,347.5763,3.07,13.343966,139.763
1327.0222,246.9042,2346,340.3037,0.67,11.30514,129.693
1359.7273,249.3756,2346,356.1888,1.99,11.912042,133.7
1394.5666,253.4708,2346,347.8512,3.07,12.549032,138.697
1429.0182,257.3432,2346,347.7819,3.07,18.212688,138.084
1356.2241,224.8735,2346,662.9659,2.7099999999999995,11.664697,132.977
1386.1975,236.919,2346,359.9252,3.07,12.169158,138.294
1422.6589,242.7913,2346,271.6626,3.07,15.339384,139.246
1449.5889,231.5528,2346,234.093,3.07,19.857432,139.703
995.7737,238.9388,2346,341.1232,0.15,11.763754,126.536
1029.7166,242.6349,2346,347.5113,0.5605,12.298926,125.992
1064.1401,246.5046,2346,347.5113,1.0094999999999998,10.571246,127.304
1098.5283,250.3703,2346,346.7024,0.954,10.189331,129.632
1137.694,254.7206,2346,457.145,0.733,10.884682,131.447
1022.787,226.7614,2346,347.5113,0.3225,12.818946,125.129
1057.2104,230.6311,2346,347.5113,1.02,10.97139,127.588
1091.5988,234.4969,2346,346.7053,0.954,10.283327,130.307
1133.1293,239.4901,2346,502.4422,0.6980000000000001,10.931491,131.38
1015.8573,210.8879,2346,347.5113,0.1668,13.637696,123.754
1050.2808,214.7576,2346,347.5113,0.822,11.356955,127.081
1084.6693,218.6234,2346,346.7083,0.954,10.396649,130.978
1119.0583,222.4892,2346,347.5262,0.67,9.792955,131.943
1043.3512,198.8842,2346,347.5113,0.4589999999999999,11.890614,126.396
1077.7397,202.7499,2346,346.7112,0.9408,10.500686,131.003
1112.1293,206.6158,2346,347.5342,0.6839999999999999,10.155538,132.993
1036.4201,183.0082,2346,347.6489,0.3432,12.56919,125.475
1070.8092,186.8751,2346,346.793,0.756,10.8109,130.39
1105.1997,190.742,2346,347.5627,0.6701,10.403144,133.006
1029.4896,167.1321,2346,347.5224,0.2823,13.327207,124.752
1063.8794,171.0,2346,346.7282,0.4128,11.037182,129.952
1098.2708,174.868,2346,347.5614,0.6771,10.488358,132.808
1022.5598,151.2581,2346,347.5224,0.2193,14.17906,124.41
1056.9496,155.126,2346,346.7312,0.36,11.724161,129.081
1091.3415,158.9941,2346,347.5694,0.5925,10.758998,132.856
1050.0199,139.252,2346,346.7341,0.3536999999999999,12.277407,128.369
1084.4122,143.1201,2346,346.5774,0.515,10.987801,132.738
1043.0901,123.378,2346,346.737,0.2907,12.997998,127.161
1077.483,127.2462,2346,347.5854,0.4623,11.016996,132.366
1036.1604,107.5041,2346,346.74,0.2193,13.773758,126.417
1070.5537,111.3723,2346,347.5934,0.4157999999999999,11.109148,131.192
1029.2307,91.6301,2346,346.7429,0.171,12.472388,125.673
1063.6244,95.4984,2346,347.6014,0.3786,12.440467,128.854
1022.3984,75.795,2346,344.7509,0.15,12.742539,126.318
1056.6952,79.6245,2346,347.6095,0.3515999999999999,13.723978,127.105
1445.8046,217.0292,2346,302.8804,3.07,18.097824,141.759
1417.3391,223.0823,2346,545.5652,3.07,14.204713,142.089
1443.8517,202.1971,2346,274.5984,3.07,16.840288,144.951
1388.2952,218.3311,2346,379.4852,3.07,11.927242,141.414
1415.184,200.6496,2346,378.3154,3.07,13.017011,147.062
1445.9493,183.8527,2346,387.137,3.07,15.252006,149.176
1327.3373,231.4602,2346,256.3878,0.67,11.30256,127.051
1385.0,200.1599,2346,347.4686,3.07,11.826748,142.423
1415.0,182.8494,2346,347.4686,3.07,13.552458,148.523
1444.982,165.5493,2346,346.9947,3.07,15.290983,150.685
1474.9624,148.2335,2346,346.5932,3.07,18.613834,150.759
1267.3306,251.5484,2346,411.2457,3.07,10.998468,132.088
1295.6543,231.1259,2346,269.2102,0.8140000000000001,11.413044,125.868
1325.5203,216.7626,2346,323.3559,0.67,11.373344,125.069
1355.0027,200.1543,2346,347.2899,3.07,11.473206,131.477
1384.9754,182.8597,2346,293.8207,3.07,11.720387,143.23
1415.0,165.5299,2346,347.5475,3.07,12.835124,149.457
1442.8283,150.6277,2346,262.9228,3.07,14.198794,150.651
1473.5905,128.2247,2346,452.7101,3.07,17.807822,152.956
1237.3135,249.5018,2346,253.29,3.07,10.646755,130.896
1264.0142,234.2941,2346,284.4768,3.07,10.680527,129.461
