id_pilar,x,y,z,heterogeneidad_geologica,litologia_dominante,proximadad_de_fallas,condicion_de_frente,num_singularidades_geometricas,area_pilar,frec_fracturas,altura_extraible_promedio,carga_vertical_pre_mineria,carga_vertical_transicion,estado_pilar
220,1144.55963544,51.88113543999998,1125.0,homogenea,complejos de rocas maficas,0,plano,0,347.1665,2.23,285,12.383657,49.45486202850295,1
221,1178.98713544,55.75113543999999,1125.0,homogenea,complejos de rocas maficas,0,plano,0,347.9204,3.07,278,14.637202,58.52091813405766,1
222,1067.93083544,22.70643543999998,1125.0,homogenea,porfido dioritico,1,plano,0,582.6417,0.9820000000000001,284,11.364854,45.767804978499676,1
223,1104.09713544,32.67963543999997,1125.0,homogenea,porfido dioritico,0,convexo,1,318.7125,0.67,287,11.306879,45.70673300804282,1
224,1137.62683544,36.01243543999999,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,346.7384,1.5579999999999998,286,11.92782,46.90869252851395,1
225,1172.04763544,39.88163543999997,1125.0,homogenea,complejos de rocas maficas,0,plano,1,347.5763,3.07,280,13.343966,53.601534833038414,1
226,1097.56363544,17.44563543999999,1125.0,poco heterogenea,porfido dioritico,0,plano,0,340.3037,0.67,287,11.30514,45.345063992155914,1
227,1130.26873544,19.917035439999974,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,356.1888,1.9900000000000002,288,11.912042,49.05178309416955,1
228,1165.10803544,24.012235439999984,1125.0,homogenea,complejos de rocas maficas,0,plano,0,347.8512,3.07,282,12.549032,49.71929513308759,1
229,1199.55963544,27.88463544000001,1125.0,homogenea,complejos de rocas maficas,0,plano,0,347.7819,3.07,276,18.212688,73.19496732030812,1
230,1126.76553544,-4.585064560000006,1125.0,poco heterogenea,complejos de rocas maficas,0,convexo,1,662.9659,2.7099999999999995,292,11.664697,47.19182752520131,1
231,1156.73893544,7.460435439999998,1125.0,homogenea,complejos de rocas maficas,0,plano,0,359.9252,3.07,286,12.169158,48.77023701892022,1
232,1193.20033544,13.332735439999992,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,271.6626,3.07,278,15.339384,62.07550228653914,1
233,1220.13033544,2.094235439999977,1125.0,homogenea,complejos de rocas maficas,0,plano,0,234.093,3.07,278,19.857432,79.81043367259159,1
234,766.31513544,9.480235439999973,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,341.1232,0.15,274,11.763754,46.00274189228849,0
235,800.25803544,13.176335439999974,1125.0,heterogenea,complejos de rocas maficas,0,concavo,0,347.5113,0.5605,271,12.298926,47.95599175011795,0
236,834.6815354400001,17.046035439999997,1125.0,poco heterogenea,complejos de rocas maficas,0,plano,0,347.5113,1.0094999999999998,273,10.571246,42.24323131545338,0
237,869.0697354399999,20.911735439999973,1125.0,homogenea,complejos de rocas maficas,1,plano,0,346.7024,0.9540000000000001,274,10.189331,40.840815366915,0
238,908.23543544,25.262035439999977,1125.0,poco heterogenea,complejos de rocas maficas,1,concavo,0,457.145,0.733,274,10.884682,43.10134837770351,0
239,793.32843544,-2.6971645600000045,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,347.5113,0.3225,268,12.818946,50.14188660199254,0
240,827.7518354399999,1.17253543999999,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,1,347.5113,1.02,272,10.97139,42.36547482910301,0
241,862.14023544,5.038335439999997,1125.0,homogenea,complejos de rocas maficas,1,plano,0,346.7053,0.9540000000000001,274,10.283327,41.14364856041129,0
242,903.67073544,10.03153544,1125.0,poco heterogenea,complejos de rocas maficas,1,plano,1,502.4422,0.6980000000000001,275,10.931491,43.66056538360935,0
243,786.39873544,-18.57066456000001,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,347.5113,0.1668,267,13.637696,52.895358477204574,0
244,820.82223544,-14.700964560000015,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,347.5113,0.822,269,11.356955,44.33656545190197,0
245,855.21073544,-10.83516456000001,1125.0,homogenea,complejos de rocas maficas,0,plano,0,346.7083,0.9540000000000001,273,10.396649,41.1915559534753,0
246,889.5997354399999,-6.9693645600000025,1125.0,poco heterogenea,complejos de rocas maficas,1,concavo,0,347.5262,0.67,275,9.792955,38.553806701197075,0
247,813.89263544,-30.57436456000002,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,347.5113,0.45899999999999996,267,11.890614,45.27408920923189,0
248,848.2811354400001,-26.708664560000017,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,346.7112,0.9408000000000001,271,10.500686,42.854519461399065,0
249,882.67073544,-22.84276456000001,1125.0,poco heterogenea,porfido dioritico,1,plano,0,347.5342,0.6839999999999999,275,10.155538,40.275588858770774,0
250,806.96153544,-46.450364560000025,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,347.6489,0.3432,267,12.56919,48.864475010389235,0
251,841.3506354399999,-42.58346456000001,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,346.793,0.756,271,10.8109,44.44649783832674,0
252,875.7411354399999,-38.71656456000002,1125.0,poco heterogenea,porfido dioritico,0,convexo,0,347.5627,0.6701,275,10.403144,43.559212546499296,0
253,800.0310354400001,-62.326464560000005,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,347.5224,0.2823,267,13.327207,51.25629152465137,0
254,834.42083544,-58.45856456000001,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,346.7282,0.4128,271,11.037182,41.405820821433025,0
255,868.81223544,-54.59056456000002,1125.0,heterogenea,porfido dioritico,0,convexo,1,347.5614,0.6771,276,10.488358,43.02313189888007,0
256,793.10123544,-78.20046456,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,1,347.5224,0.2193,270,14.17906,55.97144415652384,0
257,827.4910354399999,-74.33256456000001,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,346.7312,0.36,272,11.724161,45.67004376659692,0
258,861.88293544,-70.46446456000001,1125.0,poco heterogenea,complejos de rocas maficas,0,convexo,1,347.5694,0.5925,276,10.758998,46.9766369738808,0
259,820.56133544,-90.20656456,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,346.7341,0.35369999999999996,275,12.277407,47.96759746234519,0
260,854.95363544,-86.33846456,1125.0,poco heterogenea,porfido dioritico,0,convexo,0,346.5774,0.515,277,10.987801,47.664956108086486,0
261,813.6315354399999,-106.08056456,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,346.737,0.2907,277,12.997998,50.89232836844341,0
262,848.0244354399999,-102.21236456,1125.0,poco heterogenea,complejos de rocas maficas,0,convexo,0,347.5854,0.46230000000000004,279,11.016996,48.19099132678123,0
263,806.70183544,-121.95446456000002,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,346.74,0.2193,279,13.773758,54.51193007919554,0
264,841.0951354399999,-118.08626456000002,1125.0,muy heterogenea,porfido dioritico,0,concavo,0,347.5934,0.41579999999999995,281,11.109148,42.21995686239638,0
265,799.77213544,-137.82846456,1125.0,poco heterogenea,complejos de rocas maficas,0,concavo,0,346.7429,0.171,281,12.472388,49.20057115325776,0
266,834.1658354399999,-133.96016456,1125.0,muy heterogenea,complejos de rocas maficas,0,concavo,0,347.6014,0.3786,282,12.440467,48.49849265492396,0
267,792.93983544,-153.66356456,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,344.7509,0.15,284,12.742539,49.95460375297487,0
268,827.2366354400001,-149.83406456,1125.0,poco heterogenea,complejos de rocas maficas,0,plano,0,347.6095,0.35159999999999997,284,13.723978,54.51185525694702,0
269,1216.34603544,-12.42936456000001,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,302.8804,3.07,280,18.097824,73.1924851799747,0
270,1187.88053544,-6.37626456000001,1125.0,homogenea,complejos de rocas maficas,0,plano,0,545.5652,3.07,281,14.204713,56.73394190812369,0
271,1214.39313544,-27.261464560000007,1125.0,homogenea,complejos de rocas maficas,1,plano,1,274.5984,3.07,283,16.840288,67.48011808335254,0
272,1158.83663544,-11.12746456000002,1125.0,homogenea,complejos de rocas maficas,0,concavo,1,379.4852,3.07,289,11.927242,46.8812985277825,1
273,1185.72543544,-28.80896456000002,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,378.3154,3.07,288,13.017011,54.059524762177055,0
274,1216.49073544,-45.605864560000015,1125.0,homogenea,complejos de rocas maficas,1,plano,1,387.137,3.07,286,15.252006,61.39696019684746,0
275,1097.87873544,2.0016354399999727,1125.0,poco heterogenea,porfido dioritico,1,concavo,0,256.3878,0.67,289,11.30256,44.72270750462521,1
276,1155.54143544,-29.29866456000002,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,347.4686,3.07,294,11.826748,48.54933170972477,1
