fecha,ley_cut,ley_cola,ley_conc,tratamiento
2022-03-12,0.412038353360558,0.0306012671315404,30.65769883750758,32473.542034565708
2022-03-13,0.407177195971347,0.0298337647887263,29.719278326956324,38069.80604504198
2022-03-14,0.5002521259077369,0.0349875804665365,27.459112822511297,36954.25294189549
2022-03-15,0.4042988836076948,0.03244891237012,27.68682983070069,37122.84340793405
2022-03-16,0.5142620736969742,0.0368042971930456,30.437934961548773,33979.15784765081
2022-03-17,0.5207297664600118,0.0306403652490856,28.52562340668632,34342.268510736816
2022-03-18,0.6621515494645527,0.0375596544484705,30.675360146098622,34064.10499827109
2022-03-19,0.6352868685248431,0.0408076814316141,30.1215576787604,32266.20192534398
2022-03-20,0.3977761576110463,0.0394037817978974,30.302662596094905,37331.49439946987
2022-03-21,0.2694515418558913,0.0229608418900405,31.201810469991727,35315.05337850485
